library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,4096,1,encrypt,1,0,1.22518,warmup
SEAL,BGV,4096,1,encrypt,1,1,1.22059,warmup
SEAL,BGV,4096,1,encrypt,1,2,1.2116,warmup
SEAL,BGV,4096,1,encrypt,1,3,1.21401,warmup
SEAL,BGV,4096,1,encrypt,1,4,1.22701,warmup
SEAL,BGV,4096,1,encrypt,1,5,1.23999,measured
SEAL,BGV,4096,1,encrypt,1,6,1.22118,measured
SEAL,BGV,4096,1,encrypt,1,7,1.22438,measured
SEAL,BGV,4096,1,encrypt,1,8,1.20603,measured
SEAL,BGV,4096,1,encrypt,1,9,1.21793,measured
SEAL,BGV,4096,1,encrypt,1,10,1.21415,measured
SEAL,BGV,4096,1,encrypt,1,11,1.20629,measured
SEAL,BGV,4096,1,encrypt,1,12,1.21658,measured
SEAL,BGV,4096,1,encrypt,1,13,1.21522,measured
SEAL,BGV,4096,1,encrypt,1,14,1.21812,measured
SEAL,BGV,4096,1,encrypt,1,15,1.23413,measured
SEAL,BGV,4096,1,encrypt,1,16,1.22776,measured
SEAL,BGV,4096,1,encrypt,1,17,1.23212,measured
SEAL,BGV,4096,1,encrypt,1,18,1.22633,measured
SEAL,BGV,4096,1,encrypt,1,19,1.5781,measured
SEAL,BGV,4096,1,encrypt,1,20,1.33438,measured
SEAL,BGV,4096,1,encrypt,1,21,1.24607,measured
SEAL,BGV,4096,1,encrypt,1,22,1.25362,measured
SEAL,BGV,4096,1,encrypt,1,23,1.39546,measured
SEAL,BGV,4096,1,encrypt,1,24,1.2559,measured
SEAL,BGV,4096,1,encrypt,1,25,1.25481,measured
SEAL,BGV,4096,1,encrypt,1,26,1.25376,measured
SEAL,BGV,4096,1,encrypt,1,27,1.24106,measured
SEAL,BGV,4096,1,encrypt,1,28,1.23395,measured
SEAL,BGV,4096,1,encrypt,1,29,1.22194,measured
SEAL,BGV,4096,1,encrypt,1,30,1.2167,measured
SEAL,BGV,4096,1,encrypt,1,31,1.21298,measured
SEAL,BGV,4096,1,encrypt,1,32,1.21291,measured
SEAL,BGV,4096,1,encrypt,1,33,1.20992,measured
SEAL,BGV,4096,1,encrypt,1,34,1.2185,measured
SEAL,BGV,4096,1,encrypt,1,35,1.22442,measured
SEAL,BGV,4096,1,encrypt,1,36,1.23862,measured
SEAL,BGV,4096,1,encrypt,1,37,1.2403,measured
SEAL,BGV,4096,1,encrypt,1,38,1.22409,measured
SEAL,BGV,4096,1,encrypt,1,39,1.21447,measured
SEAL,BGV,4096,1,encrypt,1,40,1.2151,measured
SEAL,BGV,4096,1,encrypt,1,41,1.21163,measured
SEAL,BGV,4096,1,encrypt,1,42,1.22063,measured
SEAL,BGV,4096,1,encrypt,1,43,1.22218,measured
SEAL,BGV,4096,1,encrypt,1,44,1.21795,measured
SEAL,BGV,4096,1,encrypt,1,45,1.25302,measured
SEAL,BGV,4096,1,encrypt,1,46,1.24387,measured
SEAL,BGV,4096,1,encrypt,1,47,1.25354,measured
SEAL,BGV,4096,1,encrypt,1,48,1.26062,measured
SEAL,BGV,4096,1,encrypt,1,49,1.24243,measured
SEAL,BGV,4096,1,encrypt,1,50,1.25728,measured
SEAL,BGV,4096,1,encrypt,1,51,1.26172,measured
SEAL,BGV,4096,1,encrypt,1,52,1.25843,measured
SEAL,BGV,4096,1,encrypt,1,53,1.25611,measured
SEAL,BGV,4096,1,encrypt,1,54,1.2568,measured
SEAL,BGV,4096,1,encrypt,1,55,1.24414,measured
SEAL,BGV,4096,1,encrypt,1,56,1.22885,measured
SEAL,BGV,4096,1,encrypt,1,57,1.22924,measured
SEAL,BGV,4096,1,encrypt,1,58,1.41128,measured
SEAL,BGV,4096,1,encrypt,1,59,1.28635,measured
SEAL,BGV,4096,1,encrypt,1,60,1.26453,measured
SEAL,BGV,4096,1,encrypt,1,61,1.26078,measured
SEAL,BGV,4096,1,encrypt,1,62,1.24892,measured
SEAL,BGV,4096,1,encrypt,1,63,1.24337,measured
SEAL,BGV,4096,1,encrypt,1,64,1.24902,measured
SEAL,BGV,4096,1,encrypt,1,65,1.24209,measured
SEAL,BGV,4096,1,encrypt,1,66,1.26153,measured
SEAL,BGV,4096,1,encrypt,1,67,1.2542,measured
SEAL,BGV,4096,1,encrypt,1,68,1.25282,measured
SEAL,BGV,4096,1,encrypt,1,69,1.24784,measured
SEAL,BGV,4096,1,encrypt,1,70,1.23706,measured
SEAL,BGV,4096,1,encrypt,1,71,1.22546,measured
SEAL,BGV,4096,1,encrypt,1,72,1.21417,measured
SEAL,BGV,4096,1,encrypt,1,73,1.25018,measured
SEAL,BGV,4096,1,encrypt,1,74,1.24041,measured
SEAL,BGV,4096,1,encrypt,1,75,1.22442,measured
SEAL,BGV,4096,1,encrypt,1,76,1.21283,measured
SEAL,BGV,4096,1,encrypt,1,77,1.22415,measured
SEAL,BGV,4096,1,encrypt,1,78,1.21495,measured
SEAL,BGV,4096,1,encrypt,1,79,1.21359,measured
SEAL,BGV,4096,1,encrypt,1,80,1.21309,measured
SEAL,BGV,4096,1,encrypt,1,81,1.22459,measured
SEAL,BGV,4096,1,encrypt,1,82,1.23611,measured
SEAL,BGV,4096,1,encrypt,1,83,1.23731,measured
SEAL,BGV,4096,1,encrypt,1,84,1.22162,measured
SEAL,BGV,4096,1,encrypt,1,85,1.22488,measured
SEAL,BGV,4096,1,encrypt,1,86,1.22347,measured
SEAL,BGV,4096,1,encrypt,1,87,1.22087,measured
SEAL,BGV,4096,1,encrypt,1,88,1.21812,measured
SEAL,BGV,4096,1,encrypt,1,89,1.23352,measured
SEAL,BGV,4096,1,encrypt,1,90,1.21751,measured
SEAL,BGV,4096,1,encrypt,1,91,1.22287,measured
SEAL,BGV,4096,1,encrypt,1,92,1.2263,measured
SEAL,BGV,4096,1,encrypt,1,93,1.22022,measured
SEAL,BGV,4096,1,encrypt,1,94,1.21773,measured
SEAL,BGV,4096,1,encrypt,1,95,1.23402,measured
SEAL,BGV,4096,1,encrypt,1,96,1.21612,measured
SEAL,BGV,4096,1,encrypt,1,97,1.22067,measured
SEAL,BGV,4096,1,encrypt,1,98,1.23302,measured
SEAL,BGV,4096,1,encrypt,1,99,1.34655,measured
SEAL,BGV,4096,1,encrypt,1,100,1.238,measured
SEAL,BGV,4096,1,encrypt,1,101,1.22005,measured
SEAL,BGV,4096,1,encrypt,1,102,1.21566,measured
SEAL,BGV,4096,1,encrypt,1,103,1.2245,measured
SEAL,BGV,4096,1,encrypt,1,104,1.22586,measured
