library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,4096,1,multiply,1,0,0.140036,warmup
SEAL,BGV,4096,1,multiply,1,1,0.141777,warmup
SEAL,BGV,4096,1,multiply,1,2,0.141915,warmup
SEAL,BGV,4096,1,multiply,1,3,0.141057,warmup
SEAL,BGV,4096,1,multiply,1,4,0.141547,warmup
SEAL,BGV,4096,1,multiply,1,5,0.141739,measured
SEAL,BGV,4096,1,multiply,1,6,0.141503,measured
SEAL,BGV,4096,1,multiply,1,7,0.139437,measured
SEAL,BGV,4096,1,multiply,1,8,0.139672,measured
SEAL,BGV,4096,1,multiply,1,9,0.141387,measured
SEAL,BGV,4096,1,multiply,1,10,0.141509,measured
SEAL,BGV,4096,1,multiply,1,11,0.141226,measured
SEAL,BGV,4096,1,multiply,1,12,0.142576,measured
SEAL,BGV,4096,1,multiply,1,13,0.139274,measured
SEAL,BGV,4096,1,multiply,1,14,0.139626,measured
SEAL,BGV,4096,1,multiply,1,15,0.138061,measured
SEAL,BGV,4096,1,multiply,1,16,0.138623,measured
SEAL,BGV,4096,1,multiply,1,17,0.140622,measured
SEAL,BGV,4096,1,multiply,1,18,0.140534,measured
SEAL,BGV,4096,1,multiply,1,19,0.140575,measured
SEAL,BGV,4096,1,multiply,1,20,0.142117,measured
SEAL,BGV,4096,1,multiply,1,21,0.139685,measured
SEAL,BGV,4096,1,multiply,1,22,0.13819,measured
SEAL,BGV,4096,1,multiply,1,23,0.137709,measured
SEAL,BGV,4096,1,multiply,1,24,0.138414,measured
SEAL,BGV,4096,1,multiply,1,25,0.139466,measured
SEAL,BGV,4096,1,multiply,1,26,0.139905,measured
SEAL,BGV,4096,1,multiply,1,27,0.140212,measured
SEAL,BGV,4096,1,multiply,1,28,0.139821,measured
SEAL,BGV,4096,1,multiply,1,29,0.139037,measured
SEAL,BGV,4096,1,multiply,1,30,0.138016,measured
SEAL,BGV,4096,1,multiply,1,31,0.138444,measured
SEAL,BGV,4096,1,multiply,1,32,0.138622,measured
SEAL,BGV,4096,1,multiply,1,33,0.139454,measured
SEAL,BGV,4096,1,multiply,1,34,0.139849,measured
SEAL,BGV,4096,1,multiply,1,35,0.13971,measured
SEAL,BGV,4096,1,multiply,1,36,0.140046,measured
SEAL,BGV,4096,1,multiply,1,37,0.140014,measured
SEAL,BGV,4096,1,multiply,1,38,0.137801,measured
SEAL,BGV,4096,1,multiply,1,39,0.137925,measured
SEAL,BGV,4096,1,multiply,1,40,0.137973,measured
SEAL,BGV,4096,1,multiply,1,41,0.140091,measured
SEAL,BGV,4096,1,multiply,1,42,0.139917,measured
SEAL,BGV,4096,1,multiply,1,43,0.140934,measured
SEAL,BGV,4096,1,multiply,1,44,0.139784,measured
SEAL,BGV,4096,1,multiply,1,45,0.1394,measured
SEAL,BGV,4096,1,multiply,1,46,0.138343,measured
SEAL,BGV,4096,1,multiply,1,47,0.137819,measured
SEAL,BGV,4096,1,multiply,1,48,0.138003,measured
SEAL,BGV,4096,1,multiply,1,49,0.140592,measured
SEAL,BGV,4096,1,multiply,1,50,0.139515,measured
SEAL,BGV,4096,1,multiply,1,51,0.139718,measured
SEAL,BGV,4096,1,multiply,1,52,0.13956,measured
SEAL,BGV,4096,1,multiply,1,53,0.139789,measured
SEAL,BGV,4096,1,multiply,1,54,0.138168,measured
SEAL,BGV,4096,1,multiply,1,55,0.137856,measured
SEAL,BGV,4096,1,multiply,1,56,0.13954,measured
SEAL,BGV,4096,1,multiply,1,57,0.14054,measured
SEAL,BGV,4096,1,multiply,1,58,0.140828,measured
SEAL,BGV,4096,1,multiply,1,59,0.139647,measured
SEAL,BGV,4096,1,multiply,1,60,0.139719,measured
SEAL,BGV,4096,1,multiply,1,61,0.138691,measured
SEAL,BGV,4096,1,multiply,1,62,0.137328,measured
SEAL,BGV,4096,1,multiply,1,63,0.138272,measured
SEAL,BGV,4096,1,multiply,1,64,0.139595,measured
SEAL,BGV,4096,1,multiply,1,65,0.1396,measured
SEAL,BGV,4096,1,multiply,1,66,0.140091,measured
SEAL,BGV,4096,1,multiply,1,67,0.140685,measured
SEAL,BGV,4096,1,multiply,1,68,0.140507,measured
SEAL,BGV,4096,1,multiply,1,69,0.138299,measured
SEAL,BGV,4096,1,multiply,1,70,0.137847,measured
SEAL,BGV,4096,1,multiply,1,71,0.138032,measured
SEAL,BGV,4096,1,multiply,1,72,0.137957,measured
SEAL,BGV,4096,1,multiply,1,73,0.140168,measured
SEAL,BGV,4096,1,multiply,1,74,0.13989,measured
SEAL,BGV,4096,1,multiply,1,75,0.139263,measured
SEAL,BGV,4096,1,multiply,1,76,0.140231,measured
SEAL,BGV,4096,1,multiply,1,77,0.139503,measured
SEAL,BGV,4096,1,multiply,1,78,0.137838,measured
