library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,4096,1,relinearize,1,0,0.728093,warmup
SEAL,BGV,4096,1,relinearize,1,1,0.734362,warmup
SEAL,BGV,4096,1,relinearize,1,2,0.726446,warmup
SEAL,BGV,4096,1,relinearize,1,3,0.726301,warmup
SEAL,BGV,4096,1,relinearize,1,4,0.725805,warmup
SEAL,BGV,4096,1,relinearize,1,5,0.764862,measured
SEAL,BGV,4096,1,relinearize,1,6,0.732731,measured
SEAL,BGV,4096,1,relinearize,1,7,0.731656,measured
SEAL,BGV,4096,1,relinearize,1,8,0.722397,measured
SEAL,BGV,4096,1,relinearize,1,9,0.737419,measured
SEAL,BGV,4096,1,relinearize,1,10,0.80094,measured
SEAL,BGV,4096,1,relinearize,1,11,0.830004,measured
SEAL,BGV,4096,1,relinearize,1,12,0.807326,measured
SEAL,BGV,4096,1,relinearize,1,13,0.789009,measured
SEAL,BGV,4096,1,relinearize,1,14,0.789959,measured
SEAL,BGV,4096,1,relinearize,1,15,0.787736,measured
SEAL,BGV,4096,1,relinearize,1,16,0.788023,measured
SEAL,BGV,4096,1,relinearize,1,17,0.735959,measured
SEAL,BGV,4096,1,relinearize,1,18,0.732858,measured
SEAL,BGV,4096,1,relinearize,1,19,0.734115,measured
SEAL,BGV,4096,1,relinearize,1,20,0.733822,measured
SEAL,BGV,4096,1,relinearize,1,21,0.77346,measured
SEAL,BGV,4096,1,relinearize,1,22,0.762185,measured
SEAL,BGV,4096,1,relinearize,1,23,0.73478,measured
SEAL,BGV,4096,1,relinearize,1,24,0.736448,measured
SEAL,BGV,4096,1,relinearize,1,25,0.732384,measured
SEAL,BGV,4096,1,relinearize,1,26,0.732644,measured
SEAL,BGV,4096,1,relinearize,1,27,0.732524,measured
SEAL,BGV,4096,1,relinearize,1,28,0.7819,measured
SEAL,BGV,4096,1,relinearize,1,29,0.735904,measured
SEAL,BGV,4096,1,relinearize,1,30,0.734772,measured
SEAL,BGV,4096,1,relinearize,1,31,0.730336,measured
SEAL,BGV,4096,1,relinearize,1,32,0.730123,measured
SEAL,BGV,4096,1,relinearize,1,33,0.733408,measured
SEAL,BGV,4096,1,relinearize,1,34,0.7339,measured
SEAL,BGV,4096,1,relinearize,1,35,0.734397,measured
SEAL,BGV,4096,1,relinearize,1,36,0.734138,measured
SEAL,BGV,4096,1,relinearize,1,37,0.733389,measured
SEAL,BGV,4096,1,relinearize,1,38,0.745386,measured
SEAL,BGV,4096,1,relinearize,1,39,0.730725,measured
SEAL,BGV,4096,1,relinearize,1,40,0.730444,measured
SEAL,BGV,4096,1,relinearize,1,41,0.734306,measured
SEAL,BGV,4096,1,relinearize,1,42,0.733236,measured
SEAL,BGV,4096,1,relinearize,1,43,0.733669,measured
SEAL,BGV,4096,1,relinearize,1,44,0.72808,measured
SEAL,BGV,4096,1,relinearize,1,45,0.734932,measured
SEAL,BGV,4096,1,relinearize,1,46,0.734187,measured
SEAL,BGV,4096,1,relinearize,1,47,0.734115,measured
SEAL,BGV,4096,1,relinearize,1,48,0.732237,measured
SEAL,BGV,4096,1,relinearize,1,49,0.729023,measured
SEAL,BGV,4096,1,relinearize,1,50,0.72952,measured
SEAL,BGV,4096,1,relinearize,1,51,0.731627,measured
SEAL,BGV,4096,1,relinearize,1,52,0.732148,measured
SEAL,BGV,4096,1,relinearize,1,53,0.727443,measured
SEAL,BGV,4096,1,relinearize,1,54,0.772491,measured
SEAL,BGV,4096,1,relinearize,1,55,0.793377,measured
SEAL,BGV,4096,1,relinearize,1,56,0.839487,measured
SEAL,BGV,4096,1,relinearize,1,57,0.936383,measured
SEAL,BGV,4096,1,relinearize,1,58,0.789074,measured
SEAL,BGV,4096,1,relinearize,1,59,0.79394,measured
SEAL,BGV,4096,1,relinearize,1,60,0.793343,measured
SEAL,BGV,4096,1,relinearize,1,61,0.785606,measured
SEAL,BGV,4096,1,relinearize,1,62,0.780587,measured
SEAL,BGV,4096,1,relinearize,1,63,0.779218,measured
SEAL,BGV,4096,1,relinearize,1,64,0.793501,measured
SEAL,BGV,4096,1,relinearize,1,65,0.780942,measured
SEAL,BGV,4096,1,relinearize,1,66,0.794309,measured
SEAL,BGV,4096,1,relinearize,1,67,0.788329,measured
SEAL,BGV,4096,1,relinearize,1,68,0.783351,measured
SEAL,BGV,4096,1,relinearize,1,69,0.799566,measured
SEAL,BGV,4096,1,relinearize,1,70,0.786406,measured
SEAL,BGV,4096,1,relinearize,1,71,0.793327,measured
SEAL,BGV,4096,1,relinearize,1,72,0.789205,measured
SEAL,BGV,4096,1,relinearize,1,73,0.79473,measured
SEAL,BGV,4096,1,relinearize,1,74,0.789667,measured
SEAL,BGV,4096,1,relinearize,1,75,0.817375,measured
SEAL,BGV,4096,1,relinearize,1,76,0.790669,measured
SEAL,BGV,4096,1,relinearize,1,77,0.799054,measured
SEAL,BGV,4096,1,relinearize,1,78,0.793337,measured
SEAL,BGV,4096,1,relinearize,1,79,0.797147,measured
SEAL,BGV,4096,1,relinearize,1,80,0.816004,measured
SEAL,BGV,4096,1,relinearize,1,81,0.791979,measured
SEAL,BGV,4096,1,relinearize,1,82,0.791535,measured
SEAL,BGV,4096,1,relinearize,1,83,0.794853,measured
SEAL,BGV,4096,1,relinearize,1,84,0.793147,measured
SEAL,BGV,4096,1,relinearize,1,85,0.789676,measured
SEAL,BGV,4096,1,relinearize,1,86,0.786994,measured
SEAL,BGV,4096,1,relinearize,1,87,0.795517,measured
SEAL,BGV,4096,1,relinearize,1,88,0.787924,measured
SEAL,BGV,4096,1,relinearize,1,89,0.794639,measured
SEAL,BGV,4096,1,relinearize,1,90,0.791514,measured
SEAL,BGV,4096,1,relinearize,1,91,0.788271,measured
SEAL,BGV,4096,1,relinearize,1,92,0.794635,measured
SEAL,BGV,4096,1,relinearize,1,93,0.792151,measured
SEAL,BGV,4096,1,relinearize,1,94,0.79133,measured
SEAL,BGV,4096,1,relinearize,1,95,0.797244,measured
SEAL,BGV,4096,1,relinearize,1,96,0.796385,measured
SEAL,BGV,4096,1,relinearize,1,97,0.792271,measured
SEAL,BGV,4096,1,relinearize,1,98,0.798577,measured
SEAL,BGV,4096,1,relinearize,1,99,0.800126,measured
SEAL,BGV,4096,1,relinearize,1,100,0.801661,measured
SEAL,BGV,4096,1,relinearize,1,101,0.83836,measured
SEAL,BGV,4096,1,relinearize,1,102,0.805003,measured
SEAL,BGV,4096,1,relinearize,1,103,0.79536,measured
SEAL,BGV,4096,1,relinearize,1,104,0.800011,measured
