library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,4096,1,relinearize,1,0,0.651676,warmup
SEAL,BGV,4096,1,relinearize,1,1,0.658906,warmup
SEAL,BGV,4096,1,relinearize,1,2,0.645752,warmup
SEAL,BGV,4096,1,relinearize,1,3,0.762926,warmup
SEAL,BGV,4096,1,relinearize,1,4,0.65499,warmup
SEAL,BGV,4096,1,relinearize,1,5,0.651176,measured
SEAL,BGV,4096,1,relinearize,1,6,0.650585,measured
SEAL,BGV,4096,1,relinearize,1,7,0.648949,measured
SEAL,BGV,4096,1,relinearize,1,8,0.651365,measured
SEAL,BGV,4096,1,relinearize,1,9,0.652431,measured
SEAL,BGV,4096,1,relinearize,1,10,0.658244,measured
SEAL,BGV,4096,1,relinearize,1,11,0.652007,measured
SEAL,BGV,4096,1,relinearize,1,12,0.650866,measured
SEAL,BGV,4096,1,relinearize,1,13,0.651526,measured
SEAL,BGV,4096,1,relinearize,1,14,0.651357,measured
SEAL,BGV,4096,1,relinearize,1,15,0.651287,measured
SEAL,BGV,4096,1,relinearize,1,16,0.656766,measured
SEAL,BGV,4096,1,relinearize,1,17,0.657305,measured
SEAL,BGV,4096,1,relinearize,1,18,0.652615,measured
SEAL,BGV,4096,1,relinearize,1,19,0.654177,measured
SEAL,BGV,4096,1,relinearize,1,20,0.649125,measured
SEAL,BGV,4096,1,relinearize,1,21,0.65192,measured
SEAL,BGV,4096,1,relinearize,1,22,0.653214,measured
SEAL,BGV,4096,1,relinearize,1,23,0.650927,measured
SEAL,BGV,4096,1,relinearize,1,24,0.652097,measured
SEAL,BGV,4096,1,relinearize,1,25,0.651821,measured
SEAL,BGV,4096,1,relinearize,1,26,0.652383,measured
SEAL,BGV,4096,1,relinearize,1,27,0.650021,measured
SEAL,BGV,4096,1,relinearize,1,28,0.656496,measured
SEAL,BGV,4096,1,relinearize,1,29,0.655618,measured
SEAL,BGV,4096,1,relinearize,1,30,0.655779,measured
SEAL,BGV,4096,1,relinearize,1,31,0.655704,measured
SEAL,BGV,4096,1,relinearize,1,32,0.653052,measured
SEAL,BGV,4096,1,relinearize,1,33,0.652464,measured
SEAL,BGV,4096,1,relinearize,1,34,0.654363,measured
SEAL,BGV,4096,1,relinearize,1,35,0.651561,measured
SEAL,BGV,4096,1,relinearize,1,36,0.650051,measured
SEAL,BGV,4096,1,relinearize,1,37,0.654125,measured
SEAL,BGV,4096,1,relinearize,1,38,0.651551,measured
SEAL,BGV,4096,1,relinearize,1,39,0.652981,measured
SEAL,BGV,4096,1,relinearize,1,40,0.655649,measured
SEAL,BGV,4096,1,relinearize,1,41,0.653272,measured
SEAL,BGV,4096,1,relinearize,1,42,0.655391,measured
SEAL,BGV,4096,1,relinearize,1,43,0.652449,measured
SEAL,BGV,4096,1,relinearize,1,44,0.654623,measured
SEAL,BGV,4096,1,relinearize,1,45,0.657449,measured
SEAL,BGV,4096,1,relinearize,1,46,0.654599,measured
SEAL,BGV,4096,1,relinearize,1,47,0.654945,measured
SEAL,BGV,4096,1,relinearize,1,48,0.651801,measured
SEAL,BGV,4096,1,relinearize,1,49,0.652963,measured
SEAL,BGV,4096,1,relinearize,1,50,0.651562,measured
SEAL,BGV,4096,1,relinearize,1,51,0.651485,measured
SEAL,BGV,4096,1,relinearize,1,52,0.648045,measured
SEAL,BGV,4096,1,relinearize,1,53,0.651237,measured
SEAL,BGV,4096,1,relinearize,1,54,0.651966,measured
SEAL,BGV,4096,1,relinearize,1,55,0.651687,measured
SEAL,BGV,4096,1,relinearize,1,56,0.651382,measured
SEAL,BGV,4096,1,relinearize,1,57,0.650893,measured
SEAL,BGV,4096,1,relinearize,1,58,0.650326,measured
SEAL,BGV,4096,1,relinearize,1,59,0.652017,measured
SEAL,BGV,4096,1,relinearize,1,60,0.652029,measured
SEAL,BGV,4096,1,relinearize,1,61,0.677998,measured
SEAL,BGV,4096,1,relinearize,1,62,0.65436,measured
SEAL,BGV,4096,1,relinearize,1,63,0.650827,measured
SEAL,BGV,4096,1,relinearize,1,64,0.650498,measured
SEAL,BGV,4096,1,relinearize,1,65,0.656063,measured
SEAL,BGV,4096,1,relinearize,1,66,0.655192,measured
SEAL,BGV,4096,1,relinearize,1,67,0.65769,measured
SEAL,BGV,4096,1,relinearize,1,68,0.651845,measured
SEAL,BGV,4096,1,relinearize,1,69,0.651877,measured
SEAL,BGV,4096,1,relinearize,1,70,0.651209,measured
SEAL,BGV,4096,1,relinearize,1,71,0.656219,measured
SEAL,BGV,4096,1,relinearize,1,72,0.651986,measured
SEAL,BGV,4096,1,relinearize,1,73,0.651985,measured
SEAL,BGV,4096,1,relinearize,1,74,0.649788,measured
SEAL,BGV,4096,1,relinearize,1,75,0.651214,measured
SEAL,BGV,4096,1,relinearize,1,76,0.651912,measured
SEAL,BGV,4096,1,relinearize,1,77,0.659622,measured
SEAL,BGV,4096,1,relinearize,1,78,0.658697,measured
SEAL,BGV,4096,1,relinearize,1,79,0.652576,measured
SEAL,BGV,4096,1,relinearize,1,80,0.648648,measured
SEAL,BGV,4096,1,relinearize,1,81,0.649514,measured
SEAL,BGV,4096,1,relinearize,1,82,0.653209,measured
SEAL,BGV,4096,1,relinearize,1,83,0.657171,measured
SEAL,BGV,4096,1,relinearize,1,84,0.651867,measured
SEAL,BGV,4096,1,relinearize,1,85,0.653443,measured
SEAL,BGV,4096,1,relinearize,1,86,0.649139,measured
SEAL,BGV,4096,1,relinearize,1,87,0.651558,measured
SEAL,BGV,4096,1,relinearize,1,88,0.651198,measured
SEAL,BGV,4096,1,relinearize,1,89,0.65644,measured
SEAL,BGV,4096,1,relinearize,1,90,0.652275,measured
SEAL,BGV,4096,1,relinearize,1,91,0.652097,measured
SEAL,BGV,4096,1,relinearize,1,92,0.651067,measured
SEAL,BGV,4096,1,relinearize,1,93,0.651617,measured
SEAL,BGV,4096,1,relinearize,1,94,0.65107,measured
SEAL,BGV,4096,1,relinearize,1,95,0.657295,measured
SEAL,BGV,4096,1,relinearize,1,96,0.655848,measured
SEAL,BGV,4096,1,relinearize,1,97,0.655925,measured
SEAL,BGV,4096,1,relinearize,1,98,0.655522,measured
SEAL,BGV,4096,1,relinearize,1,99,0.65569,measured
SEAL,BGV,4096,1,relinearize,1,100,0.655292,measured
SEAL,BGV,4096,1,relinearize,1,101,0.6521,measured
SEAL,BGV,4096,1,relinearize,1,102,0.652348,measured
SEAL,BGV,4096,1,relinearize,1,103,0.650724,measured
SEAL,BGV,4096,1,relinearize,1,104,0.649716,measured
