library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,4096,3,add,1,0,0.0107713,warmup
SEAL,BGV,4096,3,add,1,1,0.0109119,warmup
SEAL,BGV,4096,3,add,1,2,0.0110965,warmup
SEAL,BGV,4096,3,add,1,3,0.0108056,warmup
SEAL,BGV,4096,3,add,1,4,0.00990316,warmup
SEAL,BGV,4096,3,add,1,5,0.0102174,measured
SEAL,BGV,4096,3,add,1,6,0.0101205,measured
SEAL,BGV,4096,3,add,1,7,0.0103784,measured
SEAL,BGV,4096,3,add,1,8,0.011778,measured
SEAL,BGV,4096,3,add,1,9,0.0127403,measured
SEAL,BGV,4096,3,add,1,10,0.0106404,measured
SEAL,BGV,4096,3,add,1,11,0.0119987,measured
SEAL,BGV,4096,3,add,1,12,0.0104419,measured
SEAL,BGV,4096,3,add,1,13,0.0101482,measured
SEAL,BGV,4096,3,add,1,14,0.0103583,measured
SEAL,BGV,4096,3,add,1,15,0.0102683,measured
SEAL,BGV,4096,3,add,1,16,0.0103279,measured
SEAL,BGV,4096,3,add,1,17,0.0091858,measured
SEAL,BGV,4096,3,add,1,18,0.00956673,measured
SEAL,BGV,4096,3,add,1,19,0.00928379,measured
SEAL,BGV,4096,3,add,1,20,0.00927247,measured
SEAL,BGV,4096,3,add,1,21,0.0091311,measured
SEAL,BGV,4096,3,add,1,22,0.0118375,measured
SEAL,BGV,4096,3,add,1,23,0.00905656,measured
SEAL,BGV,4096,3,add,1,24,0.00924772,measured
SEAL,BGV,4096,3,add,1,25,0.00925162,measured
SEAL,BGV,4096,3,add,1,26,0.00941654,measured
SEAL,BGV,4096,3,add,1,27,0.0092331,measured
SEAL,BGV,4096,3,add,1,28,0.00905786,measured
SEAL,BGV,4096,3,add,1,29,0.00926776,measured
SEAL,BGV,4096,3,add,1,30,0.00932677,measured
SEAL,BGV,4096,3,add,1,31,0.00919543,measured
SEAL,BGV,4096,3,add,1,32,0.00926706,measured
SEAL,BGV,4096,3,add,1,33,0.00887943,measured
SEAL,BGV,4096,3,add,1,34,0.00932106,measured
SEAL,BGV,4096,3,add,1,35,0.00924141,measured
SEAL,BGV,4096,3,add,1,36,0.00926045,measured
SEAL,BGV,4096,3,add,1,37,0.00935993,measured
SEAL,BGV,4096,3,add,1,38,0.00936514,measured
SEAL,BGV,4096,3,add,1,39,0.00922307,measured
SEAL,BGV,4096,3,add,1,40,0.00952254,measured
SEAL,BGV,4096,3,add,1,41,0.00925143,measured
SEAL,BGV,4096,3,add,1,42,0.00926446,measured
SEAL,BGV,4096,3,add,1,43,0.00929552,measured
SEAL,BGV,4096,3,add,1,44,0.00935382,measured
SEAL,BGV,4096,3,add,1,45,0.00931354,measured
SEAL,BGV,4096,3,add,1,46,0.0091802,measured
SEAL,BGV,4096,3,add,1,47,0.00926436,measured
SEAL,BGV,4096,3,add,1,48,0.00923229,measured
SEAL,BGV,4096,3,add,1,49,0.00921346,measured
SEAL,BGV,4096,3,add,1,50,0.0118374,measured
SEAL,BGV,4096,3,add,1,51,0.00940131,measured
SEAL,BGV,4096,3,add,1,52,0.00917288,measured
SEAL,BGV,4096,3,add,1,53,0.0102101,measured
SEAL,BGV,4096,3,add,1,54,0.00889826,measured
SEAL,BGV,4096,3,add,1,55,0.00908332,measured
SEAL,BGV,4096,3,add,1,56,0.00938929,measured
SEAL,BGV,4096,3,add,1,57,0.00918811,measured
SEAL,BGV,4096,3,add,1,58,0.00933379,measured
SEAL,BGV,4096,3,add,1,59,0.0124323,measured
SEAL,BGV,4096,3,add,1,60,0.00905305,measured
SEAL,BGV,4096,3,add,1,61,0.00911648,measured
SEAL,BGV,4096,3,add,1,62,0.00963876,measured
SEAL,BGV,4096,3,add,1,63,0.00942796,measured
SEAL,BGV,4096,3,add,1,64,0.00889916,measured
SEAL,BGV,4096,3,add,1,65,0.00920524,measured
SEAL,BGV,4096,3,add,1,66,0.00906768,measured
SEAL,BGV,4096,3,add,1,67,0.00914714,measured
SEAL,BGV,4096,3,add,1,68,0.0092397,measured
SEAL,BGV,4096,3,add,1,69,0.0092851,measured
SEAL,BGV,4096,3,add,1,70,0.00935823,measured
SEAL,BGV,4096,3,add,1,71,0.00917248,measured
SEAL,BGV,4096,3,add,1,72,0.00912128,measured
SEAL,BGV,4096,3,add,1,73,0.00962143,measured
SEAL,BGV,4096,3,add,1,74,0.00920825,measured
SEAL,BGV,4096,3,add,1,75,0.00927948,measured
SEAL,BGV,4096,3,add,1,76,0.00910525,measured
SEAL,BGV,4096,3,add,1,77,0.00912068,measured
SEAL,BGV,4096,3,add,1,78,0.00911457,measured
SEAL,BGV,4096,3,add,1,79,0.00931144,measured
SEAL,BGV,4096,3,add,1,80,0.0092319,measured
SEAL,BGV,4096,3,add,1,81,0.00915184,measured
SEAL,BGV,4096,3,add,1,82,0.009291,measured
SEAL,BGV,4096,3,add,1,83,0.00911538,measured
SEAL,BGV,4096,3,add,1,84,0.0103546,measured
SEAL,BGV,4096,3,add,1,85,0.00900507,measured
SEAL,BGV,4096,3,add,1,86,0.00909253,measured
SEAL,BGV,4096,3,add,1,87,0.00931716,measured
SEAL,BGV,4096,3,add,1,88,0.0090799,measured
SEAL,BGV,4096,3,add,1,89,0.00920344,measured
SEAL,BGV,4096,3,add,1,90,0.00917228,measured
SEAL,BGV,4096,3,add,1,91,0.0090756,measured
SEAL,BGV,4096,3,add,1,92,0.0104451,measured
SEAL,BGV,4096,3,add,1,93,0.00903512,measured
SEAL,BGV,4096,3,add,1,94,0.00908832,measured
SEAL,BGV,4096,3,add,1,95,0.0128561,measured
SEAL,BGV,4096,3,add,1,96,0.00994734,measured
SEAL,BGV,4096,3,add,1,97,0.00884957,measured
SEAL,BGV,4096,3,add,1,98,0.0120641,measured
SEAL,BGV,4096,3,add,1,99,0.00874889,measured
SEAL,BGV,4096,3,add,1,100,0.00941734,measured
SEAL,BGV,4096,3,add,1,101,0.0118854,measured
SEAL,BGV,4096,3,add,1,102,0.00906477,measured
SEAL,BGV,4096,3,add,1,103,0.0090781,measured
SEAL,BGV,4096,3,add,1,104,0.0102038,measured
