library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,4096,3,keygen,1,0,25.6956,warmup
SEAL,BGV,4096,3,keygen,1,1,23.4991,warmup
SEAL,BGV,4096,3,keygen,1,2,24.7936,warmup
SEAL,BGV,4096,3,keygen,1,3,25.7572,warmup
SEAL,BGV,4096,3,keygen,1,4,24.7901,warmup
SEAL,BGV,4096,3,keygen,1,5,24.9825,measured
SEAL,BGV,4096,3,keygen,1,6,23.9092,measured
SEAL,BGV,4096,3,keygen,1,7,25.3376,measured
SEAL,BGV,4096,3,keygen,1,8,25.1683,measured
SEAL,BGV,4096,3,keygen,1,9,25.3372,measured
SEAL,BGV,4096,3,keygen,1,10,23.1999,measured
SEAL,BGV,4096,3,keygen,1,11,25.0071,measured
SEAL,BGV,4096,3,keygen,1,12,25.4047,measured
SEAL,BGV,4096,3,keygen,1,13,25.4694,measured
SEAL,BGV,4096,3,keygen,1,14,23.9553,measured
SEAL,BGV,4096,3,keygen,1,15,24.9125,measured
SEAL,BGV,4096,3,keygen,1,16,25.1713,measured
SEAL,BGV,4096,3,keygen,1,17,25.125,measured
SEAL,BGV,4096,3,keygen,1,18,25.9657,measured
SEAL,BGV,4096,3,keygen,1,19,26.4029,measured
SEAL,BGV,4096,3,keygen,1,20,25.2061,measured
SEAL,BGV,4096,3,keygen,1,21,25.4356,measured
SEAL,BGV,4096,3,keygen,1,22,23.7831,measured
SEAL,BGV,4096,3,keygen,1,23,24.8763,measured
SEAL,BGV,4096,3,keygen,1,24,25.0158,measured
SEAL,BGV,4096,3,keygen,1,25,25.9332,measured
SEAL,BGV,4096,3,keygen,1,26,24.1118,measured
SEAL,BGV,4096,3,keygen,1,27,25.9332,measured
SEAL,BGV,4096,3,keygen,1,28,25.7908,measured
SEAL,BGV,4096,3,keygen,1,29,25.452,measured
SEAL,BGV,4096,3,keygen,1,30,25.069,measured
SEAL,BGV,4096,3,keygen,1,31,25.8238,measured
SEAL,BGV,4096,3,keygen,1,32,25.2757,measured
SEAL,BGV,4096,3,keygen,1,33,25.3151,measured
SEAL,BGV,4096,3,keygen,1,34,25.0582,measured
SEAL,BGV,4096,3,keygen,1,35,22.2083,measured
SEAL,BGV,4096,3,keygen,1,36,25.2993,measured
SEAL,BGV,4096,3,keygen,1,37,25.929,measured
SEAL,BGV,4096,3,keygen,1,38,25.4203,measured
SEAL,BGV,4096,3,keygen,1,39,23.1836,measured
SEAL,BGV,4096,3,keygen,1,40,25.0249,measured
SEAL,BGV,4096,3,keygen,1,41,25.2675,measured
SEAL,BGV,4096,3,keygen,1,42,25.0377,measured
SEAL,BGV,4096,3,keygen,1,43,23.9478,measured
SEAL,BGV,4096,3,keygen,1,44,25.3961,measured
SEAL,BGV,4096,3,keygen,1,45,24.9384,measured
SEAL,BGV,4096,3,keygen,1,46,25.5229,measured
SEAL,BGV,4096,3,keygen,1,47,23.5173,measured
SEAL,BGV,4096,3,keygen,1,48,25.4423,measured
SEAL,BGV,4096,3,keygen,1,49,25.4199,measured
SEAL,BGV,4096,3,keygen,1,50,25.3683,measured
SEAL,BGV,4096,3,keygen,1,51,24.7316,measured
SEAL,BGV,4096,3,keygen,1,52,25.658,measured
SEAL,BGV,4096,3,keygen,1,53,25.111,measured
SEAL,BGV,4096,3,keygen,1,54,24.689,measured
SEAL,BGV,4096,3,keygen,1,55,25.071,measured
SEAL,BGV,4096,3,keygen,1,56,22.7239,measured
SEAL,BGV,4096,3,keygen,1,57,24.6511,measured
SEAL,BGV,4096,3,keygen,1,58,25.2437,measured
SEAL,BGV,4096,3,keygen,1,59,25.234,measured
SEAL,BGV,4096,3,keygen,1,60,24.082,measured
SEAL,BGV,4096,3,keygen,1,61,24.9133,measured
SEAL,BGV,4096,3,keygen,1,62,25.3278,measured
SEAL,BGV,4096,3,keygen,1,63,24.9696,measured
SEAL,BGV,4096,3,keygen,1,64,24.0811,measured
SEAL,BGV,4096,3,keygen,1,65,25.2687,measured
SEAL,BGV,4096,3,keygen,1,66,25.7294,measured
SEAL,BGV,4096,3,keygen,1,67,25.091,measured
SEAL,BGV,4096,3,keygen,1,68,23.5373,measured
SEAL,BGV,4096,3,keygen,1,69,25.607,measured
SEAL,BGV,4096,3,keygen,1,70,25.5148,measured
SEAL,BGV,4096,3,keygen,1,71,25.3272,measured
SEAL,BGV,4096,3,keygen,1,72,23.0433,measured
SEAL,BGV,4096,3,keygen,1,73,25.1347,measured
SEAL,BGV,4096,3,keygen,1,74,25.4191,measured
SEAL,BGV,4096,3,keygen,1,75,25.4116,measured
SEAL,BGV,4096,3,keygen,1,76,25.5684,measured
SEAL,BGV,4096,3,keygen,1,77,23.7376,measured
SEAL,BGV,4096,3,keygen,1,78,24.814,measured
SEAL,BGV,4096,3,keygen,1,79,24.9983,measured
SEAL,BGV,4096,3,keygen,1,80,25.0985,measured
SEAL,BGV,4096,3,keygen,1,81,23.7673,measured
SEAL,BGV,4096,3,keygen,1,82,25.577,measured
SEAL,BGV,4096,3,keygen,1,83,24.8244,measured
SEAL,BGV,4096,3,keygen,1,84,25.3277,measured
SEAL,BGV,4096,3,keygen,1,85,23.8397,measured
SEAL,BGV,4096,3,keygen,1,86,24.9937,measured
SEAL,BGV,4096,3,keygen,1,87,25.2218,measured
SEAL,BGV,4096,3,keygen,1,88,25.2843,measured
SEAL,BGV,4096,3,keygen,1,89,25.3603,measured
SEAL,BGV,4096,3,keygen,1,90,24.8009,measured
SEAL,BGV,4096,3,keygen,1,91,25.0878,measured
SEAL,BGV,4096,3,keygen,1,92,25.0629,measured
SEAL,BGV,4096,3,keygen,1,93,24.1428,measured
SEAL,BGV,4096,3,keygen,1,94,25.0338,measured
SEAL,BGV,4096,3,keygen,1,95,25.3346,measured
SEAL,BGV,4096,3,keygen,1,96,25.4055,measured
SEAL,BGV,4096,3,keygen,1,97,24.6358,measured
SEAL,BGV,4096,3,keygen,1,98,26.1887,measured
SEAL,BGV,4096,3,keygen,1,99,24.9701,measured
SEAL,BGV,4096,3,keygen,1,100,25.4612,measured
SEAL,BGV,4096,3,keygen,1,101,25.3768,measured
SEAL,BGV,4096,3,keygen,1,102,23.7278,measured
SEAL,BGV,4096,3,keygen,1,103,24.7654,measured
SEAL,BGV,4096,3,keygen,1,104,25.4035,measured
