library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,4096,5,keygen,1,0,23.4756,warmup
SEAL,BGV,4096,5,keygen,1,1,22.8908,warmup
SEAL,BGV,4096,5,keygen,1,2,21.6657,warmup
SEAL,BGV,4096,5,keygen,1,3,23.5277,warmup
SEAL,BGV,4096,5,keygen,1,4,22.4746,warmup
SEAL,BGV,4096,5,keygen,1,5,22.5752,measured
SEAL,BGV,4096,5,keygen,1,6,22.7325,measured
SEAL,BGV,4096,5,keygen,1,7,22.9991,measured
SEAL,BGV,4096,5,keygen,1,8,23.0905,measured
SEAL,BGV,4096,5,keygen,1,9,22.9946,measured
SEAL,BGV,4096,5,keygen,1,10,23.1256,measured
SEAL,BGV,4096,5,keygen,1,11,22.8642,measured
SEAL,BGV,4096,5,keygen,1,12,23.3378,measured
SEAL,BGV,4096,5,keygen,1,13,22.968,measured
SEAL,BGV,4096,5,keygen,1,14,23.1519,measured
SEAL,BGV,4096,5,keygen,1,15,21.3615,measured
SEAL,BGV,4096,5,keygen,1,16,23.5075,measured
SEAL,BGV,4096,5,keygen,1,17,23.6861,measured
SEAL,BGV,4096,5,keygen,1,18,23.7343,measured
SEAL,BGV,4096,5,keygen,1,19,23.2854,measured
SEAL,BGV,4096,5,keygen,1,20,23.4713,measured
SEAL,BGV,4096,5,keygen,1,21,23.0681,measured
SEAL,BGV,4096,5,keygen,1,22,23.0931,measured
SEAL,BGV,4096,5,keygen,1,23,23.4221,measured
SEAL,BGV,4096,5,keygen,1,24,23.2292,measured
SEAL,BGV,4096,5,keygen,1,25,23.7551,measured
SEAL,BGV,4096,5,keygen,1,26,23.1713,measured
SEAL,BGV,4096,5,keygen,1,27,21.2222,measured
SEAL,BGV,4096,5,keygen,1,28,22.8803,measured
SEAL,BGV,4096,5,keygen,1,29,21.6234,measured
SEAL,BGV,4096,5,keygen,1,30,23.1661,measured
SEAL,BGV,4096,5,keygen,1,31,23.7147,measured
SEAL,BGV,4096,5,keygen,1,32,23.2782,measured
SEAL,BGV,4096,5,keygen,1,33,22.4564,measured
SEAL,BGV,4096,5,keygen,1,34,23.0983,measured
SEAL,BGV,4096,5,keygen,1,35,24.0578,measured
SEAL,BGV,4096,5,keygen,1,36,23.1179,measured
SEAL,BGV,4096,5,keygen,1,37,23.091,measured
SEAL,BGV,4096,5,keygen,1,38,20.8204,measured
SEAL,BGV,4096,5,keygen,1,39,23.8702,measured
SEAL,BGV,4096,5,keygen,1,40,23.7532,measured
SEAL,BGV,4096,5,keygen,1,41,23.6064,measured
SEAL,BGV,4096,5,keygen,1,42,22.0589,measured
SEAL,BGV,4096,5,keygen,1,43,23.286,measured
SEAL,BGV,4096,5,keygen,1,44,23.4045,measured
SEAL,BGV,4096,5,keygen,1,45,23.5819,measured
SEAL,BGV,4096,5,keygen,1,46,23.0874,measured
SEAL,BGV,4096,5,keygen,1,47,21.8724,measured
SEAL,BGV,4096,5,keygen,1,48,23.5973,measured
SEAL,BGV,4096,5,keygen,1,49,23.7616,measured
SEAL,BGV,4096,5,keygen,1,50,23.0935,measured
SEAL,BGV,4096,5,keygen,1,51,22.3226,measured
SEAL,BGV,4096,5,keygen,1,52,23.044,measured
SEAL,BGV,4096,5,keygen,1,53,22.9505,measured
SEAL,BGV,4096,5,keygen,1,54,23.5141,measured
SEAL,BGV,4096,5,keygen,1,55,23.7013,measured
SEAL,BGV,4096,5,keygen,1,56,22.3109,measured
SEAL,BGV,4096,5,keygen,1,57,23.0516,measured
SEAL,BGV,4096,5,keygen,1,58,23.6496,measured
SEAL,BGV,4096,5,keygen,1,59,22.849,measured
SEAL,BGV,4096,5,keygen,1,60,21.9393,measured
SEAL,BGV,4096,5,keygen,1,61,23.4481,measured
SEAL,BGV,4096,5,keygen,1,62,23.0387,measured
SEAL,BGV,4096,5,keygen,1,63,22.895,measured
SEAL,BGV,4096,5,keygen,1,64,22.9825,measured
SEAL,BGV,4096,5,keygen,1,65,22.1894,measured
SEAL,BGV,4096,5,keygen,1,66,23.2239,measured
SEAL,BGV,4096,5,keygen,1,67,23.1657,measured
SEAL,BGV,4096,5,keygen,1,68,23.4261,measured
SEAL,BGV,4096,5,keygen,1,69,22.1904,measured
SEAL,BGV,4096,5,keygen,1,70,23.6151,measured
SEAL,BGV,4096,5,keygen,1,71,23.7903,measured
SEAL,BGV,4096,5,keygen,1,72,23.632,measured
SEAL,BGV,4096,5,keygen,1,73,23.0693,measured
SEAL,BGV,4096,5,keygen,1,74,21.5411,measured
SEAL,BGV,4096,5,keygen,1,75,23.0187,measured
SEAL,BGV,4096,5,keygen,1,76,23.3784,measured
SEAL,BGV,4096,5,keygen,1,77,23.5545,measured
SEAL,BGV,4096,5,keygen,1,78,21.5561,measured
SEAL,BGV,4096,5,keygen,1,79,22.6322,measured
SEAL,BGV,4096,5,keygen,1,80,22.9718,measured
SEAL,BGV,4096,5,keygen,1,81,22.7779,measured
SEAL,BGV,4096,5,keygen,1,82,23.2216,measured
SEAL,BGV,4096,5,keygen,1,83,21.392,measured
SEAL,BGV,4096,5,keygen,1,84,23.3246,measured
SEAL,BGV,4096,5,keygen,1,85,22.7162,measured
SEAL,BGV,4096,5,keygen,1,86,22.9445,measured
SEAL,BGV,4096,5,keygen,1,87,22.9431,measured
SEAL,BGV,4096,5,keygen,1,88,20.6044,measured
SEAL,BGV,4096,5,keygen,1,89,22.9189,measured
SEAL,BGV,4096,5,keygen,1,90,22.5778,measured
SEAL,BGV,4096,5,keygen,1,91,22.5246,measured
SEAL,BGV,4096,5,keygen,1,92,21.2925,measured
SEAL,BGV,4096,5,keygen,1,93,23.0913,measured
SEAL,BGV,4096,5,keygen,1,94,23.2743,measured
SEAL,BGV,4096,5,keygen,1,95,22.7499,measured
SEAL,BGV,4096,5,keygen,1,96,23.057,measured
SEAL,BGV,4096,5,keygen,1,97,21.2938,measured
SEAL,BGV,4096,5,keygen,1,98,22.6961,measured
SEAL,BGV,4096,5,keygen,1,99,22.6164,measured
SEAL,BGV,4096,5,keygen,1,100,22.8709,measured
SEAL,BGV,4096,5,keygen,1,101,22.787,measured
SEAL,BGV,4096,5,keygen,1,102,23.5245,measured
SEAL,BGV,4096,5,keygen,1,103,22.381,measured
SEAL,BGV,4096,5,keygen,1,104,23.031,measured
