library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,8192,1,multiply,1,0,0.445633,warmup
SEAL,BGV,8192,1,multiply,1,1,0.443105,warmup
SEAL,BGV,8192,1,multiply,1,2,0.443989,warmup
SEAL,BGV,8192,1,multiply,1,3,0.450869,warmup
SEAL,BGV,8192,1,multiply,1,4,0.443573,warmup
SEAL,BGV,8192,1,multiply,1,5,0.446199,measured
SEAL,BGV,8192,1,multiply,1,6,0.444105,measured
SEAL,BGV,8192,1,multiply,1,7,0.484035,measured
SEAL,BGV,8192,1,multiply,1,8,0.442778,measured
SEAL,BGV,8192,1,multiply,1,9,0.445073,measured
SEAL,BGV,8192,1,multiply,1,10,0.443882,measured
SEAL,BGV,8192,1,multiply,1,11,0.444402,measured
SEAL,BGV,8192,1,multiply,1,12,0.498267,measured
SEAL,BGV,8192,1,multiply,1,13,0.443575,measured
SEAL,BGV,8192,1,multiply,1,14,0.444602,measured
SEAL,BGV,8192,1,multiply,1,15,0.442732,measured
SEAL,BGV,8192,1,multiply,1,16,0.444559,measured
SEAL,BGV,8192,1,multiply,1,17,0.444513,measured
SEAL,BGV,8192,1,multiply,1,18,0.44331,measured
SEAL,BGV,8192,1,multiply,1,19,0.445369,measured
SEAL,BGV,8192,1,multiply,1,20,0.444932,measured
SEAL,BGV,8192,1,multiply,1,21,0.448942,measured
SEAL,BGV,8192,1,multiply,1,22,0.442087,measured
SEAL,BGV,8192,1,multiply,1,23,0.445873,measured
SEAL,BGV,8192,1,multiply,1,24,0.442918,measured
SEAL,BGV,8192,1,multiply,1,25,0.444603,measured
SEAL,BGV,8192,1,multiply,1,26,0.442872,measured
SEAL,BGV,8192,1,multiply,1,27,0.442958,measured
SEAL,BGV,8192,1,multiply,1,28,0.444958,measured
SEAL,BGV,8192,1,multiply,1,29,0.443266,measured
SEAL,BGV,8192,1,multiply,1,30,0.441978,measured
SEAL,BGV,8192,1,multiply,1,31,0.444647,measured
SEAL,BGV,8192,1,multiply,1,32,0.445817,measured
SEAL,BGV,8192,1,multiply,1,33,0.445059,measured
SEAL,BGV,8192,1,multiply,1,34,0.444977,measured
SEAL,BGV,8192,1,multiply,1,35,0.444982,measured
SEAL,BGV,8192,1,multiply,1,36,0.444533,measured
SEAL,BGV,8192,1,multiply,1,37,0.443181,measured
SEAL,BGV,8192,1,multiply,1,38,0.445921,measured
SEAL,BGV,8192,1,multiply,1,39,0.445741,measured
SEAL,BGV,8192,1,multiply,1,40,0.447292,measured
SEAL,BGV,8192,1,multiply,1,41,0.446974,measured
SEAL,BGV,8192,1,multiply,1,42,0.455531,measured
SEAL,BGV,8192,1,multiply,1,43,0.445412,measured
SEAL,BGV,8192,1,multiply,1,44,0.444954,measured
SEAL,BGV,8192,1,multiply,1,45,0.442323,measured
SEAL,BGV,8192,1,multiply,1,46,0.446329,measured
SEAL,BGV,8192,1,multiply,1,47,0.445931,measured
SEAL,BGV,8192,1,multiply,1,48,0.444211,measured
SEAL,BGV,8192,1,multiply,1,49,0.443887,measured
SEAL,BGV,8192,1,multiply,1,50,0.445365,measured
SEAL,BGV,8192,1,multiply,1,51,0.448456,measured
SEAL,BGV,8192,1,multiply,1,52,0.444693,measured
SEAL,BGV,8192,1,multiply,1,53,0.443848,measured
SEAL,BGV,8192,1,multiply,1,54,0.443578,measured
SEAL,BGV,8192,1,multiply,1,55,0.445357,measured
SEAL,BGV,8192,1,multiply,1,56,0.444969,measured
SEAL,BGV,8192,1,multiply,1,57,0.441344,measured
SEAL,BGV,8192,1,multiply,1,58,0.442941,measured
SEAL,BGV,8192,1,multiply,1,59,0.443821,measured
SEAL,BGV,8192,1,multiply,1,60,0.443063,measured
SEAL,BGV,8192,1,multiply,1,61,0.443538,measured
SEAL,BGV,8192,1,multiply,1,62,0.444487,measured
SEAL,BGV,8192,1,multiply,1,63,0.442367,measured
SEAL,BGV,8192,1,multiply,1,64,0.443377,measured
SEAL,BGV,8192,1,multiply,1,65,0.444887,measured
SEAL,BGV,8192,1,multiply,1,66,0.444009,measured
SEAL,BGV,8192,1,multiply,1,67,0.444161,measured
SEAL,BGV,8192,1,multiply,1,68,0.444799,measured
SEAL,BGV,8192,1,multiply,1,69,0.44593,measured
SEAL,BGV,8192,1,multiply,1,70,0.443217,measured
SEAL,BGV,8192,1,multiply,1,71,0.442651,measured
SEAL,BGV,8192,1,multiply,1,72,0.444769,measured
SEAL,BGV,8192,1,multiply,1,73,0.445549,measured
SEAL,BGV,8192,1,multiply,1,74,0.442807,measured
SEAL,BGV,8192,1,multiply,1,75,0.442027,measured
SEAL,BGV,8192,1,multiply,1,76,0.443926,measured
SEAL,BGV,8192,1,multiply,1,77,0.443618,measured
SEAL,BGV,8192,1,multiply,1,78,0.445367,measured
SEAL,BGV,8192,1,multiply,1,79,0.443133,measured
SEAL,BGV,8192,1,multiply,1,80,0.443831,measured
SEAL,BGV,8192,1,multiply,1,81,0.444561,measured
SEAL,BGV,8192,1,multiply,1,82,0.443598,measured
SEAL,BGV,8192,1,multiply,1,83,0.443216,measured
SEAL,BGV,8192,1,multiply,1,84,0.444397,measured
SEAL,BGV,8192,1,multiply,1,85,0.443242,measured
SEAL,BGV,8192,1,multiply,1,86,0.443656,measured
SEAL,BGV,8192,1,multiply,1,87,0.44321,measured
SEAL,BGV,8192,1,multiply,1,88,0.443543,measured
SEAL,BGV,8192,1,multiply,1,89,0.443201,measured
SEAL,BGV,8192,1,multiply,1,90,0.444818,measured
SEAL,BGV,8192,1,multiply,1,91,0.445199,measured
SEAL,BGV,8192,1,multiply,1,92,0.44357,measured
SEAL,BGV,8192,1,multiply,1,93,0.442519,measured
SEAL,BGV,8192,1,multiply,1,94,0.447775,measured
SEAL,BGV,8192,1,multiply,1,95,0.444946,measured
SEAL,BGV,8192,1,multiply,1,96,0.448448,measured
SEAL,BGV,8192,1,multiply,1,97,0.44303,measured
