library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,8192,3,add,1,0,0.0368102,warmup
SEAL,BGV,8192,3,add,1,1,0.036765,warmup
SEAL,BGV,8192,3,add,1,2,0.0386421,warmup
SEAL,BGV,8192,3,add,1,3,0.0385367,warmup
SEAL,BGV,8192,3,add,1,4,0.0385686,warmup
SEAL,BGV,8192,3,add,1,5,0.057505,measured
SEAL,BGV,8192,3,add,1,6,0.0389119,measured
SEAL,BGV,8192,3,add,1,7,0.0371227,measured
SEAL,BGV,8192,3,add,1,8,0.0391473,measured
SEAL,BGV,8192,3,add,1,9,0.0369927,measured
SEAL,BGV,8192,3,add,1,10,0.0408079,measured
SEAL,BGV,8192,3,add,1,11,0.0366339,measured
SEAL,BGV,8192,3,add,1,12,0.0389766,measured
SEAL,BGV,8192,3,add,1,13,0.0370478,measured
SEAL,BGV,8192,3,add,1,14,0.0395149,measured
SEAL,BGV,8192,3,add,1,15,0.0373297,measured
SEAL,BGV,8192,3,add,1,16,0.0383443,measured
SEAL,BGV,8192,3,add,1,17,0.0369026,measured
SEAL,BGV,8192,3,add,1,18,0.0369281,measured
SEAL,BGV,8192,3,add,1,19,0.03835,measured
SEAL,BGV,8192,3,add,1,20,0.0392528,measured
SEAL,BGV,8192,3,add,1,21,0.0372504,measured
SEAL,BGV,8192,3,add,1,22,0.0393782,measured
SEAL,BGV,8192,3,add,1,23,0.0364442,measured
SEAL,BGV,8192,3,add,1,24,0.0389126,measured
SEAL,BGV,8192,3,add,1,25,0.0387294,measured
SEAL,BGV,8192,3,add,1,26,0.0377054,measured
SEAL,BGV,8192,3,add,1,27,0.0389635,measured
SEAL,BGV,8192,3,add,1,28,0.0392999,measured
SEAL,BGV,8192,3,add,1,29,0.0391021,measured
SEAL,BGV,8192,3,add,1,30,0.036781,measured
SEAL,BGV,8192,3,add,1,31,0.0385962,measured
SEAL,BGV,8192,3,add,1,32,0.0410452,measured
SEAL,BGV,8192,3,add,1,33,0.0377499,measured
SEAL,BGV,8192,3,add,1,34,0.0385836,measured
SEAL,BGV,8192,3,add,1,35,0.0365993,measured
SEAL,BGV,8192,3,add,1,36,0.0367146,measured
SEAL,BGV,8192,3,add,1,37,0.0368517,measured
SEAL,BGV,8192,3,add,1,38,0.0364757,measured
SEAL,BGV,8192,3,add,1,39,0.0388732,measured
SEAL,BGV,8192,3,add,1,40,0.0364775,measured
SEAL,BGV,8192,3,add,1,41,0.0382625,measured
SEAL,BGV,8192,3,add,1,42,0.036744,measured
SEAL,BGV,8192,3,add,1,43,0.0387368,measured
SEAL,BGV,8192,3,add,1,44,0.0370277,measured
SEAL,BGV,8192,3,add,1,45,0.0370509,measured
SEAL,BGV,8192,3,add,1,46,0.0386853,measured
SEAL,BGV,8192,3,add,1,47,0.0369131,measured
SEAL,BGV,8192,3,add,1,48,0.0370543,measured
SEAL,BGV,8192,3,add,1,49,0.039828,measured
SEAL,BGV,8192,3,add,1,50,0.0365179,measured
SEAL,BGV,8192,3,add,1,51,0.0385804,measured
SEAL,BGV,8192,3,add,1,52,0.0373048,measured
SEAL,BGV,8192,3,add,1,53,0.0388114,measured
SEAL,BGV,8192,3,add,1,54,0.0367411,measured
SEAL,BGV,8192,3,add,1,55,0.0390213,measured
SEAL,BGV,8192,3,add,1,56,0.0371352,measured
SEAL,BGV,8192,3,add,1,57,0.0389783,measured
SEAL,BGV,8192,3,add,1,58,0.0369733,measured
SEAL,BGV,8192,3,add,1,59,0.0385744,measured
SEAL,BGV,8192,3,add,1,60,0.0367887,measured
SEAL,BGV,8192,3,add,1,61,0.0389935,measured
SEAL,BGV,8192,3,add,1,62,0.0387523,measured
SEAL,BGV,8192,3,add,1,63,0.0396147,measured
SEAL,BGV,8192,3,add,1,64,0.040189,measured
SEAL,BGV,8192,3,add,1,65,0.036867,measured
SEAL,BGV,8192,3,add,1,66,0.038615,measured
SEAL,BGV,8192,3,add,1,67,0.0371309,measured
SEAL,BGV,8192,3,add,1,68,0.0387961,measured
SEAL,BGV,8192,3,add,1,69,0.0369524,measured
SEAL,BGV,8192,3,add,1,70,0.0390804,measured
SEAL,BGV,8192,3,add,1,71,0.0382283,measured
SEAL,BGV,8192,3,add,1,72,0.038534,measured
SEAL,BGV,8192,3,add,1,73,0.0371101,measured
SEAL,BGV,8192,3,add,1,74,0.0389118,measured
SEAL,BGV,8192,3,add,1,75,0.0373735,measured
SEAL,BGV,8192,3,add,1,76,0.0397791,measured
SEAL,BGV,8192,3,add,1,77,0.036587,measured
SEAL,BGV,8192,3,add,1,78,0.0384614,measured
SEAL,BGV,8192,3,add,1,79,0.0384006,measured
SEAL,BGV,8192,3,add,1,80,0.0369308,measured
SEAL,BGV,8192,3,add,1,81,0.0384157,measured
SEAL,BGV,8192,3,add,1,82,0.0386492,measured
SEAL,BGV,8192,3,add,1,83,0.0375095,measured
SEAL,BGV,8192,3,add,1,84,0.036899,measured
SEAL,BGV,8192,3,add,1,85,0.0392755,measured
SEAL,BGV,8192,3,add,1,86,0.0365573,measured
SEAL,BGV,8192,3,add,1,87,0.0387616,measured
SEAL,BGV,8192,3,add,1,88,0.0381012,measured
SEAL,BGV,8192,3,add,1,89,0.0368734,measured
SEAL,BGV,8192,3,add,1,90,0.0386351,measured
SEAL,BGV,8192,3,add,1,91,0.0371441,measured
SEAL,BGV,8192,3,add,1,92,0.0391022,measured
SEAL,BGV,8192,3,add,1,93,0.0390423,measured
SEAL,BGV,8192,3,add,1,94,0.0388302,measured
SEAL,BGV,8192,3,add,1,95,0.0365267,measured
SEAL,BGV,8192,3,add,1,96,0.0385955,measured
SEAL,BGV,8192,3,add,1,97,0.036916,measured
SEAL,BGV,8192,3,add,1,98,0.0366582,measured
SEAL,BGV,8192,3,add,1,99,0.0390651,measured
SEAL,BGV,8192,3,add,1,100,0.0369044,measured
SEAL,BGV,8192,3,add,1,101,0.0387275,measured
SEAL,BGV,8192,3,add,1,102,0.0368576,measured
SEAL,BGV,8192,3,add,1,103,0.0384,measured
SEAL,BGV,8192,3,add,1,104,0.038038,measured
