library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,8192,5,decrypt,1,0,0.212411,warmup
SEAL,BGV,8192,5,decrypt,1,1,0.213143,warmup
SEAL,BGV,8192,5,decrypt,1,2,0.218347,warmup
SEAL,BGV,8192,5,decrypt,1,3,0.216189,warmup
SEAL,BGV,8192,5,decrypt,1,4,0.21368,warmup
SEAL,BGV,8192,5,decrypt,1,5,0.210804,measured
SEAL,BGV,8192,5,decrypt,1,6,0.212368,measured
SEAL,BGV,8192,5,decrypt,1,7,0.212722,measured
SEAL,BGV,8192,5,decrypt,1,8,0.213422,measured
SEAL,BGV,8192,5,decrypt,1,9,0.212384,measured
SEAL,BGV,8192,5,decrypt,1,10,0.212891,measured
SEAL,BGV,8192,5,decrypt,1,11,0.212248,measured
SEAL,BGV,8192,5,decrypt,1,12,0.211072,measured
SEAL,BGV,8192,5,decrypt,1,13,0.230977,measured
SEAL,BGV,8192,5,decrypt,1,14,0.212892,measured
SEAL,BGV,8192,5,decrypt,1,15,0.211618,measured
SEAL,BGV,8192,5,decrypt,1,16,0.222583,measured
SEAL,BGV,8192,5,decrypt,1,17,0.211657,measured
SEAL,BGV,8192,5,decrypt,1,18,0.212276,measured
SEAL,BGV,8192,5,decrypt,1,19,0.212143,measured
SEAL,BGV,8192,5,decrypt,1,20,0.212348,measured
SEAL,BGV,8192,5,decrypt,1,21,0.211939,measured
SEAL,BGV,8192,5,decrypt,1,22,0.212562,measured
SEAL,BGV,8192,5,decrypt,1,23,0.211931,measured
SEAL,BGV,8192,5,decrypt,1,24,0.211845,measured
SEAL,BGV,8192,5,decrypt,1,25,0.210614,measured
SEAL,BGV,8192,5,decrypt,1,26,0.210812,measured
SEAL,BGV,8192,5,decrypt,1,27,0.214344,measured
SEAL,BGV,8192,5,decrypt,1,28,0.212935,measured
SEAL,BGV,8192,5,decrypt,1,29,0.213648,measured
SEAL,BGV,8192,5,decrypt,1,30,0.212444,measured
SEAL,BGV,8192,5,decrypt,1,31,0.230083,measured
SEAL,BGV,8192,5,decrypt,1,32,0.212698,measured
SEAL,BGV,8192,5,decrypt,1,33,0.211192,measured
SEAL,BGV,8192,5,decrypt,1,34,0.213545,measured
SEAL,BGV,8192,5,decrypt,1,35,0.212527,measured
SEAL,BGV,8192,5,decrypt,1,36,0.214406,measured
SEAL,BGV,8192,5,decrypt,1,37,0.214874,measured
SEAL,BGV,8192,5,decrypt,1,38,0.212138,measured
SEAL,BGV,8192,5,decrypt,1,39,0.213122,measured
SEAL,BGV,8192,5,decrypt,1,40,0.212198,measured
SEAL,BGV,8192,5,decrypt,1,41,0.213072,measured
SEAL,BGV,8192,5,decrypt,1,42,0.220034,measured
SEAL,BGV,8192,5,decrypt,1,43,0.213002,measured
SEAL,BGV,8192,5,decrypt,1,44,0.21366,measured
SEAL,BGV,8192,5,decrypt,1,45,0.21158,measured
SEAL,BGV,8192,5,decrypt,1,46,0.212715,measured
SEAL,BGV,8192,5,decrypt,1,47,0.211771,measured
SEAL,BGV,8192,5,decrypt,1,48,0.210421,measured
SEAL,BGV,8192,5,decrypt,1,49,0.211928,measured
SEAL,BGV,8192,5,decrypt,1,50,0.223081,measured
SEAL,BGV,8192,5,decrypt,1,51,0.212423,measured
SEAL,BGV,8192,5,decrypt,1,52,0.212766,measured
SEAL,BGV,8192,5,decrypt,1,53,0.227886,measured
SEAL,BGV,8192,5,decrypt,1,54,0.211301,measured
SEAL,BGV,8192,5,decrypt,1,55,0.212326,measured
SEAL,BGV,8192,5,decrypt,1,56,0.211507,measured
SEAL,BGV,8192,5,decrypt,1,57,0.211532,measured
SEAL,BGV,8192,5,decrypt,1,58,0.216176,measured
SEAL,BGV,8192,5,decrypt,1,59,0.211844,measured
SEAL,BGV,8192,5,decrypt,1,60,0.212078,measured
SEAL,BGV,8192,5,decrypt,1,61,0.213521,measured
SEAL,BGV,8192,5,decrypt,1,62,0.21233,measured
SEAL,BGV,8192,5,decrypt,1,63,0.213724,measured
SEAL,BGV,8192,5,decrypt,1,64,0.214377,measured
SEAL,BGV,8192,5,decrypt,1,65,0.21261,measured
SEAL,BGV,8192,5,decrypt,1,66,0.213434,measured
SEAL,BGV,8192,5,decrypt,1,67,0.227441,measured
SEAL,BGV,8192,5,decrypt,1,68,0.213844,measured
SEAL,BGV,8192,5,decrypt,1,69,0.214199,measured
SEAL,BGV,8192,5,decrypt,1,70,0.214399,measured
SEAL,BGV,8192,5,decrypt,1,71,0.214488,measured
SEAL,BGV,8192,5,decrypt,1,72,0.213462,measured
SEAL,BGV,8192,5,decrypt,1,73,0.214288,measured
SEAL,BGV,8192,5,decrypt,1,74,0.211062,measured
SEAL,BGV,8192,5,decrypt,1,75,0.213911,measured
SEAL,BGV,8192,5,decrypt,1,76,0.211562,measured
SEAL,BGV,8192,5,decrypt,1,77,0.211995,measured
SEAL,BGV,8192,5,decrypt,1,78,0.212981,measured
SEAL,BGV,8192,5,decrypt,1,79,0.213464,measured
SEAL,BGV,8192,5,decrypt,1,80,0.244562,measured
SEAL,BGV,8192,5,decrypt,1,81,0.212925,measured
SEAL,BGV,8192,5,decrypt,1,82,0.212963,measured
SEAL,BGV,8192,5,decrypt,1,83,0.213409,measured
SEAL,BGV,8192,5,decrypt,1,84,0.213252,measured
SEAL,BGV,8192,5,decrypt,1,85,0.211176,measured
SEAL,BGV,8192,5,decrypt,1,86,0.211999,measured
SEAL,BGV,8192,5,decrypt,1,87,0.21277,measured
SEAL,BGV,8192,5,decrypt,1,88,0.212832,measured
SEAL,BGV,8192,5,decrypt,1,89,0.212248,measured
SEAL,BGV,8192,5,decrypt,1,90,0.21288,measured
SEAL,BGV,8192,5,decrypt,1,91,0.211303,measured
SEAL,BGV,8192,5,decrypt,1,92,0.210938,measured
SEAL,BGV,8192,5,decrypt,1,93,0.210657,measured
SEAL,BGV,8192,5,decrypt,1,94,0.21204,measured
SEAL,BGV,8192,5,decrypt,1,95,0.212552,measured
SEAL,BGV,8192,5,decrypt,1,96,0.211692,measured
SEAL,BGV,8192,5,decrypt,1,97,0.215147,measured
SEAL,BGV,8192,5,decrypt,1,98,0.213155,measured
SEAL,BGV,8192,5,decrypt,1,99,0.21261,measured
SEAL,BGV,8192,5,decrypt,1,100,0.213144,measured
SEAL,BGV,8192,5,decrypt,1,101,0.213254,measured
SEAL,BGV,8192,5,decrypt,1,102,0.212957,measured
SEAL,BGV,8192,5,decrypt,1,103,0.21283,measured
SEAL,BGV,8192,5,decrypt,1,104,0.212575,measured
