library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,8192,5,encrypt,1,0,2.16942,warmup
SEAL,BGV,8192,5,encrypt,1,1,2.08474,warmup
SEAL,BGV,8192,5,encrypt,1,2,2.06621,warmup
SEAL,BGV,8192,5,encrypt,1,3,2.05859,warmup
SEAL,BGV,8192,5,encrypt,1,4,2.0481,warmup
SEAL,BGV,8192,5,encrypt,1,5,2.05,measured
SEAL,BGV,8192,5,encrypt,1,6,2.03808,measured
SEAL,BGV,8192,5,encrypt,1,7,2.10299,measured
SEAL,BGV,8192,5,encrypt,1,8,2.04245,measured
SEAL,BGV,8192,5,encrypt,1,9,2.05582,measured
SEAL,BGV,8192,5,encrypt,1,10,2.18705,measured
SEAL,BGV,8192,5,encrypt,1,11,2.11926,measured
SEAL,BGV,8192,5,encrypt,1,12,2.09101,measured
SEAL,BGV,8192,5,encrypt,1,13,2.20456,measured
SEAL,BGV,8192,5,encrypt,1,14,2.35065,measured
SEAL,BGV,8192,5,encrypt,1,15,2.06503,measured
SEAL,BGV,8192,5,encrypt,1,16,2.05266,measured
SEAL,BGV,8192,5,encrypt,1,17,2.07778,measured
SEAL,BGV,8192,5,encrypt,1,18,2.08998,measured
SEAL,BGV,8192,5,encrypt,1,19,2.03456,measured
SEAL,BGV,8192,5,encrypt,1,20,2.03751,measured
SEAL,BGV,8192,5,encrypt,1,21,2.04178,measured
SEAL,BGV,8192,5,encrypt,1,22,2.0294,measured
SEAL,BGV,8192,5,encrypt,1,23,2.07474,measured
SEAL,BGV,8192,5,encrypt,1,24,2.04386,measured
SEAL,BGV,8192,5,encrypt,1,25,2.09339,measured
SEAL,BGV,8192,5,encrypt,1,26,2.05268,measured
SEAL,BGV,8192,5,encrypt,1,27,2.09323,measured
SEAL,BGV,8192,5,encrypt,1,28,2.0541,measured
SEAL,BGV,8192,5,encrypt,1,29,2.04569,measured
SEAL,BGV,8192,5,encrypt,1,30,2.04213,measured
SEAL,BGV,8192,5,encrypt,1,31,2.04592,measured
SEAL,BGV,8192,5,encrypt,1,32,2.04179,measured
SEAL,BGV,8192,5,encrypt,1,33,2.0623,measured
SEAL,BGV,8192,5,encrypt,1,34,2.06643,measured
SEAL,BGV,8192,5,encrypt,1,35,2.06245,measured
SEAL,BGV,8192,5,encrypt,1,36,2.07474,measured
SEAL,BGV,8192,5,encrypt,1,37,2.13855,measured
SEAL,BGV,8192,5,encrypt,1,38,2.38706,measured
SEAL,BGV,8192,5,encrypt,1,39,2.06711,measured
SEAL,BGV,8192,5,encrypt,1,40,2.10737,measured
SEAL,BGV,8192,5,encrypt,1,41,2.56176,measured
SEAL,BGV,8192,5,encrypt,1,42,2.09623,measured
SEAL,BGV,8192,5,encrypt,1,43,2.08369,measured
SEAL,BGV,8192,5,encrypt,1,44,2.08808,measured
SEAL,BGV,8192,5,encrypt,1,45,2.30849,measured
SEAL,BGV,8192,5,encrypt,1,46,2.21571,measured
SEAL,BGV,8192,5,encrypt,1,47,2.06422,measured
SEAL,BGV,8192,5,encrypt,1,48,2.06668,measured
SEAL,BGV,8192,5,encrypt,1,49,2.07324,measured
SEAL,BGV,8192,5,encrypt,1,50,2.08763,measured
SEAL,BGV,8192,5,encrypt,1,51,2.07429,measured
SEAL,BGV,8192,5,encrypt,1,52,2.07632,measured
SEAL,BGV,8192,5,encrypt,1,53,2.07851,measured
SEAL,BGV,8192,5,encrypt,1,54,2.06264,measured
SEAL,BGV,8192,5,encrypt,1,55,2.04553,measured
SEAL,BGV,8192,5,encrypt,1,56,2.0569,measured
SEAL,BGV,8192,5,encrypt,1,57,2.06177,measured
SEAL,BGV,8192,5,encrypt,1,58,2.20741,measured
SEAL,BGV,8192,5,encrypt,1,59,2.10499,measured
SEAL,BGV,8192,5,encrypt,1,60,2.60949,measured
