library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,16384,1,decrypt,1,0,0.706281,warmup
SEAL,CKKS,16384,1,decrypt,1,1,0.706608,warmup
SEAL,CKKS,16384,1,decrypt,1,2,0.708473,warmup
SEAL,CKKS,16384,1,decrypt,1,3,0.706132,warmup
SEAL,CKKS,16384,1,decrypt,1,4,0.706382,warmup
SEAL,CKKS,16384,1,decrypt,1,5,0.705777,measured
SEAL,CKKS,16384,1,decrypt,1,6,0.704825,measured
SEAL,CKKS,16384,1,decrypt,1,7,0.706698,measured
SEAL,CKKS,16384,1,decrypt,1,8,0.709473,measured
SEAL,CKKS,16384,1,decrypt,1,9,0.706276,measured
SEAL,CKKS,16384,1,decrypt,1,10,0.709882,measured
SEAL,CKKS,16384,1,decrypt,1,11,0.70703,measured
SEAL,CKKS,16384,1,decrypt,1,12,0.706845,measured
SEAL,CKKS,16384,1,decrypt,1,13,0.707243,measured
SEAL,CKKS,16384,1,decrypt,1,14,0.706648,measured
SEAL,CKKS,16384,1,decrypt,1,15,0.70668,measured
SEAL,CKKS,16384,1,decrypt,1,16,0.708413,measured
SEAL,CKKS,16384,1,decrypt,1,17,0.708131,measured
SEAL,CKKS,16384,1,decrypt,1,18,0.708228,measured
SEAL,CKKS,16384,1,decrypt,1,19,0.708072,measured
SEAL,CKKS,16384,1,decrypt,1,20,0.70814,measured
SEAL,CKKS,16384,1,decrypt,1,21,0.707703,measured
SEAL,CKKS,16384,1,decrypt,1,22,0.70689,measured
SEAL,CKKS,16384,1,decrypt,1,23,0.710012,measured
SEAL,CKKS,16384,1,decrypt,1,24,0.705548,measured
SEAL,CKKS,16384,1,decrypt,1,25,0.706968,measured
SEAL,CKKS,16384,1,decrypt,1,26,0.733183,measured
SEAL,CKKS,16384,1,decrypt,1,27,0.70658,measured
SEAL,CKKS,16384,1,decrypt,1,28,0.707524,measured
SEAL,CKKS,16384,1,decrypt,1,29,0.706869,measured
SEAL,CKKS,16384,1,decrypt,1,30,0.707984,measured
SEAL,CKKS,16384,1,decrypt,1,31,0.706297,measured
SEAL,CKKS,16384,1,decrypt,1,32,0.709666,measured
SEAL,CKKS,16384,1,decrypt,1,33,0.709517,measured
SEAL,CKKS,16384,1,decrypt,1,34,0.707312,measured
SEAL,CKKS,16384,1,decrypt,1,35,0.70684,measured
SEAL,CKKS,16384,1,decrypt,1,36,0.708302,measured
SEAL,CKKS,16384,1,decrypt,1,37,0.707037,measured
SEAL,CKKS,16384,1,decrypt,1,38,0.707478,measured
SEAL,CKKS,16384,1,decrypt,1,39,0.705754,measured
SEAL,CKKS,16384,1,decrypt,1,40,0.708365,measured
SEAL,CKKS,16384,1,decrypt,1,41,0.705751,measured
SEAL,CKKS,16384,1,decrypt,1,42,0.707535,measured
SEAL,CKKS,16384,1,decrypt,1,43,0.705568,measured
SEAL,CKKS,16384,1,decrypt,1,44,0.707876,measured
SEAL,CKKS,16384,1,decrypt,1,45,0.708057,measured
SEAL,CKKS,16384,1,decrypt,1,46,0.706629,measured
SEAL,CKKS,16384,1,decrypt,1,47,0.709475,measured
SEAL,CKKS,16384,1,decrypt,1,48,0.71016,measured
SEAL,CKKS,16384,1,decrypt,1,49,0.709298,measured
SEAL,CKKS,16384,1,decrypt,1,50,0.707182,measured
SEAL,CKKS,16384,1,decrypt,1,51,0.706282,measured
SEAL,CKKS,16384,1,decrypt,1,52,0.707449,measured
SEAL,CKKS,16384,1,decrypt,1,53,0.712987,measured
SEAL,CKKS,16384,1,decrypt,1,54,0.706227,measured
SEAL,CKKS,16384,1,decrypt,1,55,0.707017,measured
SEAL,CKKS,16384,1,decrypt,1,56,0.705729,measured
SEAL,CKKS,16384,1,decrypt,1,57,0.709551,measured
SEAL,CKKS,16384,1,decrypt,1,58,0.708075,measured
SEAL,CKKS,16384,1,decrypt,1,59,0.706527,measured
SEAL,CKKS,16384,1,decrypt,1,60,0.709603,measured
SEAL,CKKS,16384,1,decrypt,1,61,0.70703,measured
SEAL,CKKS,16384,1,decrypt,1,62,0.708926,measured
SEAL,CKKS,16384,1,decrypt,1,63,0.708712,measured
SEAL,CKKS,16384,1,decrypt,1,64,0.706698,measured
SEAL,CKKS,16384,1,decrypt,1,65,0.710014,measured
SEAL,CKKS,16384,1,decrypt,1,66,0.733885,measured
SEAL,CKKS,16384,1,decrypt,1,67,0.709002,measured
SEAL,CKKS,16384,1,decrypt,1,68,0.711856,measured
SEAL,CKKS,16384,1,decrypt,1,69,0.710078,measured
SEAL,CKKS,16384,1,decrypt,1,70,0.709543,measured
SEAL,CKKS,16384,1,decrypt,1,71,0.706644,measured
SEAL,CKKS,16384,1,decrypt,1,72,0.708449,measured
SEAL,CKKS,16384,1,decrypt,1,73,0.70591,measured
SEAL,CKKS,16384,1,decrypt,1,74,0.767483,measured
SEAL,CKKS,16384,1,decrypt,1,75,0.706943,measured
SEAL,CKKS,16384,1,decrypt,1,76,0.729507,measured
SEAL,CKKS,16384,1,decrypt,1,77,0.707303,measured
SEAL,CKKS,16384,1,decrypt,1,78,0.706052,measured
SEAL,CKKS,16384,1,decrypt,1,79,0.705432,measured
SEAL,CKKS,16384,1,decrypt,1,80,0.706664,measured
SEAL,CKKS,16384,1,decrypt,1,81,0.708365,measured
SEAL,CKKS,16384,1,decrypt,1,82,0.706851,measured
SEAL,CKKS,16384,1,decrypt,1,83,0.706468,measured
SEAL,CKKS,16384,1,decrypt,1,84,0.706016,measured
SEAL,CKKS,16384,1,decrypt,1,85,0.705723,measured
SEAL,CKKS,16384,1,decrypt,1,86,0.710922,measured
SEAL,CKKS,16384,1,decrypt,1,87,0.706316,measured
SEAL,CKKS,16384,1,decrypt,1,88,0.708697,measured
SEAL,CKKS,16384,1,decrypt,1,89,0.70702,measured
SEAL,CKKS,16384,1,decrypt,1,90,0.706259,measured
SEAL,CKKS,16384,1,decrypt,1,91,0.707514,measured
SEAL,CKKS,16384,1,decrypt,1,92,0.704974,measured
SEAL,CKKS,16384,1,decrypt,1,93,0.707133,measured
SEAL,CKKS,16384,1,decrypt,1,94,0.706988,measured
SEAL,CKKS,16384,1,decrypt,1,95,0.707233,measured
SEAL,CKKS,16384,1,decrypt,1,96,0.708277,measured
