library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,2048,3,add,1,0,0.00494447,warmup
SEAL,CKKS,2048,3,add,1,1,0.00504897,warmup
SEAL,CKKS,2048,3,add,1,2,0.00491462,warmup
SEAL,CKKS,2048,3,add,1,3,0.00505929,warmup
SEAL,CKKS,2048,3,add,1,4,0.00502162,warmup
SEAL,CKKS,2048,3,add,1,5,0.00623271,measured
SEAL,CKKS,2048,3,add,1,6,0.00491722,measured
SEAL,CKKS,2048,3,add,1,7,0.00505328,measured
SEAL,CKKS,2048,3,add,1,8,0.00524815,measured
SEAL,CKKS,2048,3,add,1,9,0.00532449,measured
SEAL,CKKS,2048,3,add,1,10,0.00530405,measured
SEAL,CKKS,2048,3,add,1,11,0.00516168,measured
SEAL,CKKS,2048,3,add,1,12,0.00611329,measured
SEAL,CKKS,2048,3,add,1,13,0.00466965,measured
SEAL,CKKS,2048,3,add,1,14,0.00490048,measured
SEAL,CKKS,2048,3,add,1,15,0.00516078,measured
SEAL,CKKS,2048,3,add,1,16,0.00516469,measured
SEAL,CKKS,2048,3,add,1,17,0.00479248,measured
SEAL,CKKS,2048,3,add,1,18,0.00473949,measured
SEAL,CKKS,2048,3,add,1,19,0.00499867,measured
SEAL,CKKS,2048,3,add,1,20,0.0065394,measured
SEAL,CKKS,2048,3,add,1,21,0.00492834,measured
SEAL,CKKS,2048,3,add,1,22,0.00546155,measured
SEAL,CKKS,2048,3,add,1,23,0.00481702,measured
SEAL,CKKS,2048,3,add,1,24,0.00471514,measured
SEAL,CKKS,2048,3,add,1,25,0.00468507,measured
SEAL,CKKS,2048,3,add,1,26,0.00465021,measured
SEAL,CKKS,2048,3,add,1,27,0.00479078,measured
SEAL,CKKS,2048,3,add,1,28,0.00738639,measured
SEAL,CKKS,2048,3,add,1,29,0.00470511,measured
SEAL,CKKS,2048,3,add,1,30,0.00489618,measured
SEAL,CKKS,2048,3,add,1,31,0.00483777,measured
SEAL,CKKS,2048,3,add,1,32,0.00524093,measured
SEAL,CKKS,2048,3,add,1,33,0.00514755,measured
SEAL,CKKS,2048,3,add,1,34,0.00486562,measured
SEAL,CKKS,2048,3,add,1,35,0.00465071,measured
SEAL,CKKS,2048,3,add,1,36,0.00545304,measured
SEAL,CKKS,2048,3,add,1,37,0.00560251,measured
SEAL,CKKS,2048,3,add,1,38,0.00508323,measured
SEAL,CKKS,2048,3,add,1,39,0.00550283,measured
SEAL,CKKS,2048,3,add,1,40,0.00697301,measured
SEAL,CKKS,2048,3,add,1,41,0.0051718,measured
SEAL,CKKS,2048,3,add,1,42,0.00544552,measured
SEAL,CKKS,2048,3,add,1,43,0.0048013,measured
SEAL,CKKS,2048,3,add,1,44,0.00502452,measured
SEAL,CKKS,2048,3,add,1,45,0.00499797,measured
SEAL,CKKS,2048,3,add,1,46,0.00507912,measured
SEAL,CKKS,2048,3,add,1,47,0.00742356,measured
SEAL,CKKS,2048,3,add,1,48,0.00489788,measured
SEAL,CKKS,2048,3,add,1,49,0.0049081,measured
SEAL,CKKS,2048,3,add,1,50,0.00465222,measured
SEAL,CKKS,2048,3,add,1,51,0.00486031,measured
SEAL,CKKS,2048,3,add,1,52,0.00486442,measured
SEAL,CKKS,2048,3,add,1,53,0.00463639,measured
SEAL,CKKS,2048,3,add,1,54,0.00493895,measured
SEAL,CKKS,2048,3,add,1,55,0.00641505,measured
SEAL,CKKS,2048,3,add,1,56,0.00476974,measured
SEAL,CKKS,2048,3,add,1,57,0.00472665,measured
SEAL,CKKS,2048,3,add,1,58,0.00490079,measured
SEAL,CKKS,2048,3,add,1,59,0.0047526,measured
SEAL,CKKS,2048,3,add,1,60,0.00476613,measured
SEAL,CKKS,2048,3,add,1,61,0.00468518,measured
SEAL,CKKS,2048,3,add,1,62,0.00492954,measured
SEAL,CKKS,2048,3,add,1,63,0.00605859,measured
SEAL,CKKS,2048,3,add,1,64,0.00516689,measured
SEAL,CKKS,2048,3,add,1,65,0.00488816,measured
SEAL,CKKS,2048,3,add,1,66,0.00472104,measured
SEAL,CKKS,2048,3,add,1,67,0.00486111,measured
SEAL,CKKS,2048,3,add,1,68,0.00468938,measured
SEAL,CKKS,2048,3,add,1,69,0.00511549,measured
SEAL,CKKS,2048,3,add,1,70,0.00456505,measured
SEAL,CKKS,2048,3,add,1,71,0.00471603,measured
SEAL,CKKS,2048,3,add,1,72,0.0050104,measured
SEAL,CKKS,2048,3,add,1,73,0.00515427,measured
SEAL,CKKS,2048,3,add,1,74,0.00527379,measured
SEAL,CKKS,2048,3,add,1,75,0.00487684,measured
SEAL,CKKS,2048,3,add,1,76,0.00454862,measured
SEAL,CKKS,2048,3,add,1,77,0.00457988,measured
SEAL,CKKS,2048,3,add,1,78,0.00471984,measured
SEAL,CKKS,2048,3,add,1,79,0.00479709,measured
SEAL,CKKS,2048,3,add,1,80,0.00500088,measured
SEAL,CKKS,2048,3,add,1,81,0.00485339,measured
SEAL,CKKS,2048,3,add,1,82,0.00472856,measured
SEAL,CKKS,2048,3,add,1,83,0.00465051,measured
SEAL,CKKS,2048,3,add,1,84,0.00497463,measured
SEAL,CKKS,2048,3,add,1,85,0.00596791,measured
SEAL,CKKS,2048,3,add,1,86,0.00549832,measured
SEAL,CKKS,2048,3,add,1,87,0.00488256,measured
SEAL,CKKS,2048,3,add,1,88,0.00502021,measured
SEAL,CKKS,2048,3,add,1,89,0.00471673,measured
SEAL,CKKS,2048,3,add,1,90,0.00470421,measured
SEAL,CKKS,2048,3,add,1,91,0.00466364,measured
SEAL,CKKS,2048,3,add,1,92,0.00487243,measured
SEAL,CKKS,2048,3,add,1,93,0.00467255,measured
SEAL,CKKS,2048,3,add,1,94,0.00479999,measured
SEAL,CKKS,2048,3,add,1,95,0.00465231,measured
SEAL,CKKS,2048,3,add,1,96,0.00497392,measured
SEAL,CKKS,2048,3,add,1,97,0.00476853,measured
SEAL,CKKS,2048,3,add,1,98,0.00492684,measured
SEAL,CKKS,2048,3,add,1,99,0.00482915,measured
SEAL,CKKS,2048,3,add,1,100,0.00478807,measured
SEAL,CKKS,2048,3,add,1,101,0.00468357,measured
SEAL,CKKS,2048,3,add,1,102,0.0045909,measured
SEAL,CKKS,2048,3,add,1,103,0.00480059,measured
SEAL,CKKS,2048,3,add,1,104,0.00462266,measured
