library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,2048,3,decrypt,1,0,0.0124146,warmup
SEAL,CKKS,2048,3,decrypt,1,1,0.0125833,warmup
SEAL,CKKS,2048,3,decrypt,1,2,0.0121676,warmup
SEAL,CKKS,2048,3,decrypt,1,3,0.0122321,warmup
SEAL,CKKS,2048,3,decrypt,1,4,0.0119731,warmup
SEAL,CKKS,2048,3,decrypt,1,5,0.0131828,measured
SEAL,CKKS,2048,3,decrypt,1,6,0.0121856,measured
SEAL,CKKS,2048,3,decrypt,1,7,0.012514,measured
SEAL,CKKS,2048,3,decrypt,1,8,0.0125064,measured
SEAL,CKKS,2048,3,decrypt,1,9,0.012617,measured
SEAL,CKKS,2048,3,decrypt,1,10,0.0123778,measured
SEAL,CKKS,2048,3,decrypt,1,11,0.0124916,measured
SEAL,CKKS,2048,3,decrypt,1,12,0.0123952,measured
SEAL,CKKS,2048,3,decrypt,1,13,0.0125099,measured
SEAL,CKKS,2048,3,decrypt,1,14,0.0132555,measured
SEAL,CKKS,2048,3,decrypt,1,15,0.0125905,measured
SEAL,CKKS,2048,3,decrypt,1,16,0.0122001,measured
SEAL,CKKS,2048,3,decrypt,1,17,0.0124628,measured
SEAL,CKKS,2048,3,decrypt,1,18,0.0124557,measured
SEAL,CKKS,2048,3,decrypt,1,19,0.0124681,measured
SEAL,CKKS,2048,3,decrypt,1,20,0.0127654,measured
SEAL,CKKS,2048,3,decrypt,1,21,0.0124217,measured
SEAL,CKKS,2048,3,decrypt,1,22,0.0120235,measured
SEAL,CKKS,2048,3,decrypt,1,23,0.0128218,measured
SEAL,CKKS,2048,3,decrypt,1,24,0.0118466,measured
SEAL,CKKS,2048,3,decrypt,1,25,0.0120058,measured
SEAL,CKKS,2048,3,decrypt,1,26,0.0118373,measured
SEAL,CKKS,2048,3,decrypt,1,27,0.0125909,measured
SEAL,CKKS,2048,3,decrypt,1,28,0.0120841,measured
SEAL,CKKS,2048,3,decrypt,1,29,0.0123037,measured
SEAL,CKKS,2048,3,decrypt,1,30,0.0120728,measured
SEAL,CKKS,2048,3,decrypt,1,31,0.0119737,measured
SEAL,CKKS,2048,3,decrypt,1,32,0.0121594,measured
SEAL,CKKS,2048,3,decrypt,1,33,0.012472,measured
SEAL,CKKS,2048,3,decrypt,1,34,0.012489,measured
SEAL,CKKS,2048,3,decrypt,1,35,0.0120815,measured
