library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,4096,1,encrypt,1,0,1.2407,warmup
SEAL,CKKS,4096,1,encrypt,1,1,1.1388,warmup
SEAL,CKKS,4096,1,encrypt,1,2,1.15168,warmup
SEAL,CKKS,4096,1,encrypt,1,3,1.13418,warmup
SEAL,CKKS,4096,1,encrypt,1,4,1.13832,warmup
SEAL,CKKS,4096,1,encrypt,1,5,1.13318,measured
SEAL,CKKS,4096,1,encrypt,1,6,1.14107,measured
SEAL,CKKS,4096,1,encrypt,1,7,1.13466,measured
SEAL,CKKS,4096,1,encrypt,1,8,1.12762,measured
SEAL,CKKS,4096,1,encrypt,1,9,1.13089,measured
SEAL,CKKS,4096,1,encrypt,1,10,1.13568,measured
SEAL,CKKS,4096,1,encrypt,1,11,1.13121,measured
SEAL,CKKS,4096,1,encrypt,1,12,1.13183,measured
SEAL,CKKS,4096,1,encrypt,1,13,1.12913,measured
SEAL,CKKS,4096,1,encrypt,1,14,1.12963,measured
SEAL,CKKS,4096,1,encrypt,1,15,1.13158,measured
SEAL,CKKS,4096,1,encrypt,1,16,1.13123,measured
SEAL,CKKS,4096,1,encrypt,1,17,1.13153,measured
SEAL,CKKS,4096,1,encrypt,1,18,1.12847,measured
SEAL,CKKS,4096,1,encrypt,1,19,1.12993,measured
SEAL,CKKS,4096,1,encrypt,1,20,1.13008,measured
SEAL,CKKS,4096,1,encrypt,1,21,1.13607,measured
SEAL,CKKS,4096,1,encrypt,1,22,1.14141,measured
SEAL,CKKS,4096,1,encrypt,1,23,1.13382,measured
SEAL,CKKS,4096,1,encrypt,1,24,1.12966,measured
SEAL,CKKS,4096,1,encrypt,1,25,1.13701,measured
SEAL,CKKS,4096,1,encrypt,1,26,1.12989,measured
SEAL,CKKS,4096,1,encrypt,1,27,1.12817,measured
SEAL,CKKS,4096,1,encrypt,1,28,1.12991,measured
SEAL,CKKS,4096,1,encrypt,1,29,1.13275,measured
SEAL,CKKS,4096,1,encrypt,1,30,1.12999,measured
SEAL,CKKS,4096,1,encrypt,1,31,1.13324,measured
SEAL,CKKS,4096,1,encrypt,1,32,1.13012,measured
SEAL,CKKS,4096,1,encrypt,1,33,1.13054,measured
