library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,4096,1,multiply,1,0,0.147796,warmup
SEAL,CKKS,4096,1,multiply,1,1,0.148521,warmup
SEAL,CKKS,4096,1,multiply,1,2,0.148502,warmup
SEAL,CKKS,4096,1,multiply,1,3,0.148334,warmup
SEAL,CKKS,4096,1,multiply,1,4,0.147968,warmup
SEAL,CKKS,4096,1,multiply,1,5,0.149051,measured
SEAL,CKKS,4096,1,multiply,1,6,0.148407,measured
SEAL,CKKS,4096,1,multiply,1,7,0.154249,measured
SEAL,CKKS,4096,1,multiply,1,8,0.147738,measured
SEAL,CKKS,4096,1,multiply,1,9,0.148386,measured
SEAL,CKKS,4096,1,multiply,1,10,0.148083,measured
SEAL,CKKS,4096,1,multiply,1,11,0.14895,measured
SEAL,CKKS,4096,1,multiply,1,12,0.148349,measured
SEAL,CKKS,4096,1,multiply,1,13,0.148128,measured
SEAL,CKKS,4096,1,multiply,1,14,0.148675,measured
SEAL,CKKS,4096,1,multiply,1,15,0.209915,measured
SEAL,CKKS,4096,1,multiply,1,16,0.166319,measured
SEAL,CKKS,4096,1,multiply,1,17,0.149438,measured
SEAL,CKKS,4096,1,multiply,1,18,0.148805,measured
SEAL,CKKS,4096,1,multiply,1,19,0.148595,measured
SEAL,CKKS,4096,1,multiply,1,20,0.150139,measured
SEAL,CKKS,4096,1,multiply,1,21,0.148675,measured
SEAL,CKKS,4096,1,multiply,1,22,0.14791,measured
SEAL,CKKS,4096,1,multiply,1,23,0.148689,measured
SEAL,CKKS,4096,1,multiply,1,24,0.148468,measured
SEAL,CKKS,4096,1,multiply,1,25,0.148603,measured
SEAL,CKKS,4096,1,multiply,1,26,0.149268,measured
SEAL,CKKS,4096,1,multiply,1,27,0.148246,measured
SEAL,CKKS,4096,1,multiply,1,28,0.14861,measured
SEAL,CKKS,4096,1,multiply,1,29,0.149528,measured
SEAL,CKKS,4096,1,multiply,1,30,0.14794,measured
SEAL,CKKS,4096,1,multiply,1,31,0.14868,measured
SEAL,CKKS,4096,1,multiply,1,32,0.14871,measured
SEAL,CKKS,4096,1,multiply,1,33,0.155085,measured
SEAL,CKKS,4096,1,multiply,1,34,0.148625,measured
SEAL,CKKS,4096,1,multiply,1,35,0.14849,measured
SEAL,CKKS,4096,1,multiply,1,36,0.148462,measured
SEAL,CKKS,4096,1,multiply,1,37,0.155311,measured
SEAL,CKKS,4096,1,multiply,1,38,0.148322,measured
SEAL,CKKS,4096,1,multiply,1,39,0.148618,measured
SEAL,CKKS,4096,1,multiply,1,40,0.147871,measured
SEAL,CKKS,4096,1,multiply,1,41,0.148452,measured
SEAL,CKKS,4096,1,multiply,1,42,0.146615,measured
SEAL,CKKS,4096,1,multiply,1,43,0.148258,measured
SEAL,CKKS,4096,1,multiply,1,44,0.149398,measured
SEAL,CKKS,4096,1,multiply,1,45,0.147829,measured
SEAL,CKKS,4096,1,multiply,1,46,0.14855,measured
SEAL,CKKS,4096,1,multiply,1,47,0.161435,measured
SEAL,CKKS,4096,1,multiply,1,48,0.148373,measured
SEAL,CKKS,4096,1,multiply,1,49,0.148654,measured
SEAL,CKKS,4096,1,multiply,1,50,0.148049,measured
SEAL,CKKS,4096,1,multiply,1,51,0.148492,measured
SEAL,CKKS,4096,1,multiply,1,52,0.147774,measured
SEAL,CKKS,4096,1,multiply,1,53,0.148247,measured
SEAL,CKKS,4096,1,multiply,1,54,0.148649,measured
SEAL,CKKS,4096,1,multiply,1,55,0.149401,measured
SEAL,CKKS,4096,1,multiply,1,56,0.148442,measured
SEAL,CKKS,4096,1,multiply,1,57,0.152058,measured
SEAL,CKKS,4096,1,multiply,1,58,0.148304,measured
SEAL,CKKS,4096,1,multiply,1,59,0.148144,measured
SEAL,CKKS,4096,1,multiply,1,60,0.149258,measured
SEAL,CKKS,4096,1,multiply,1,61,0.148166,measured
SEAL,CKKS,4096,1,multiply,1,62,0.148425,measured
SEAL,CKKS,4096,1,multiply,1,63,0.14903,measured
SEAL,CKKS,4096,1,multiply,1,64,0.148428,measured
SEAL,CKKS,4096,1,multiply,1,65,0.148689,measured
