library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,4096,1,relinearize,1,0,0.640015,warmup
SEAL,CKKS,4096,1,relinearize,1,1,0.634133,warmup
SEAL,CKKS,4096,1,relinearize,1,2,0.62093,warmup
SEAL,CKKS,4096,1,relinearize,1,3,0.657702,warmup
SEAL,CKKS,4096,1,relinearize,1,4,0.614775,warmup
SEAL,CKKS,4096,1,relinearize,1,5,0.616606,measured
SEAL,CKKS,4096,1,relinearize,1,6,0.615422,measured
SEAL,CKKS,4096,1,relinearize,1,7,0.640638,measured
SEAL,CKKS,4096,1,relinearize,1,8,0.610427,measured
SEAL,CKKS,4096,1,relinearize,1,9,0.613819,measured
SEAL,CKKS,4096,1,relinearize,1,10,0.61105,measured
SEAL,CKKS,4096,1,relinearize,1,11,0.62679,measured
SEAL,CKKS,4096,1,relinearize,1,12,0.678416,measured
SEAL,CKKS,4096,1,relinearize,1,13,0.616555,measured
SEAL,CKKS,4096,1,relinearize,1,14,0.683816,measured
SEAL,CKKS,4096,1,relinearize,1,15,0.658553,measured
SEAL,CKKS,4096,1,relinearize,1,16,0.609152,measured
SEAL,CKKS,4096,1,relinearize,1,17,0.609715,measured
SEAL,CKKS,4096,1,relinearize,1,18,0.61185,measured
SEAL,CKKS,4096,1,relinearize,1,19,0.611626,measured
SEAL,CKKS,4096,1,relinearize,1,20,0.611768,measured
SEAL,CKKS,4096,1,relinearize,1,21,0.628793,measured
SEAL,CKKS,4096,1,relinearize,1,22,0.604604,measured
SEAL,CKKS,4096,1,relinearize,1,23,0.603125,measured
SEAL,CKKS,4096,1,relinearize,1,24,0.604517,measured
SEAL,CKKS,4096,1,relinearize,1,25,0.606042,measured
SEAL,CKKS,4096,1,relinearize,1,26,0.653819,measured
SEAL,CKKS,4096,1,relinearize,1,27,0.609547,measured
SEAL,CKKS,4096,1,relinearize,1,28,0.608754,measured
SEAL,CKKS,4096,1,relinearize,1,29,0.608931,measured
SEAL,CKKS,4096,1,relinearize,1,30,0.604896,measured
SEAL,CKKS,4096,1,relinearize,1,31,0.682712,measured
SEAL,CKKS,4096,1,relinearize,1,32,0.613968,measured
SEAL,CKKS,4096,1,relinearize,1,33,0.614306,measured
SEAL,CKKS,4096,1,relinearize,1,34,0.638458,measured
SEAL,CKKS,4096,1,relinearize,1,35,0.622112,measured
SEAL,CKKS,4096,1,relinearize,1,36,0.611103,measured
SEAL,CKKS,4096,1,relinearize,1,37,0.6272,measured
SEAL,CKKS,4096,1,relinearize,1,38,0.620508,measured
SEAL,CKKS,4096,1,relinearize,1,39,0.622344,measured
SEAL,CKKS,4096,1,relinearize,1,40,0.613161,measured
SEAL,CKKS,4096,1,relinearize,1,41,0.604759,measured
SEAL,CKKS,4096,1,relinearize,1,42,0.616387,measured
SEAL,CKKS,4096,1,relinearize,1,43,0.607891,measured
SEAL,CKKS,4096,1,relinearize,1,44,0.61086,measured
SEAL,CKKS,4096,1,relinearize,1,45,0.610193,measured
SEAL,CKKS,4096,1,relinearize,1,46,0.613137,measured
SEAL,CKKS,4096,1,relinearize,1,47,0.61239,measured
SEAL,CKKS,4096,1,relinearize,1,48,0.60829,measured
SEAL,CKKS,4096,1,relinearize,1,49,0.611279,measured
SEAL,CKKS,4096,1,relinearize,1,50,0.610695,measured
SEAL,CKKS,4096,1,relinearize,1,51,0.608851,measured
SEAL,CKKS,4096,1,relinearize,1,52,0.607383,measured
SEAL,CKKS,4096,1,relinearize,1,53,0.609826,measured
SEAL,CKKS,4096,1,relinearize,1,54,0.603696,measured
SEAL,CKKS,4096,1,relinearize,1,55,0.607546,measured
SEAL,CKKS,4096,1,relinearize,1,56,0.611966,measured
SEAL,CKKS,4096,1,relinearize,1,57,0.612364,measured
SEAL,CKKS,4096,1,relinearize,1,58,0.604577,measured
SEAL,CKKS,4096,1,relinearize,1,59,0.609644,measured
SEAL,CKKS,4096,1,relinearize,1,60,0.644536,measured
