library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,4096,1,relinearize,1,0,0.5341,warmup
SEAL,CKKS,4096,1,relinearize,1,1,0.531663,warmup
SEAL,CKKS,4096,1,relinearize,1,2,0.533179,warmup
SEAL,CKKS,4096,1,relinearize,1,3,0.534494,warmup
SEAL,CKKS,4096,1,relinearize,1,4,0.532747,warmup
SEAL,CKKS,4096,1,relinearize,1,5,0.530088,measured
SEAL,CKKS,4096,1,relinearize,1,6,0.527303,measured
SEAL,CKKS,4096,1,relinearize,1,7,0.526216,measured
SEAL,CKKS,4096,1,relinearize,1,8,0.524369,measured
SEAL,CKKS,4096,1,relinearize,1,9,0.537095,measured
SEAL,CKKS,4096,1,relinearize,1,10,0.53548,measured
SEAL,CKKS,4096,1,relinearize,1,11,0.527035,measured
SEAL,CKKS,4096,1,relinearize,1,12,0.53162,measured
SEAL,CKKS,4096,1,relinearize,1,13,0.52861,measured
SEAL,CKKS,4096,1,relinearize,1,14,0.52683,measured
SEAL,CKKS,4096,1,relinearize,1,15,0.530521,measured
SEAL,CKKS,4096,1,relinearize,1,16,0.529089,measured
SEAL,CKKS,4096,1,relinearize,1,17,0.534133,measured
SEAL,CKKS,4096,1,relinearize,1,18,0.530042,measured
SEAL,CKKS,4096,1,relinearize,1,19,0.529469,measured
SEAL,CKKS,4096,1,relinearize,1,20,0.530789,measured
SEAL,CKKS,4096,1,relinearize,1,21,0.534884,measured
SEAL,CKKS,4096,1,relinearize,1,22,0.530877,measured
SEAL,CKKS,4096,1,relinearize,1,23,0.527816,measured
SEAL,CKKS,4096,1,relinearize,1,24,0.526315,measured
SEAL,CKKS,4096,1,relinearize,1,25,0.530095,measured
SEAL,CKKS,4096,1,relinearize,1,26,0.529077,measured
SEAL,CKKS,4096,1,relinearize,1,27,0.53016,measured
SEAL,CKKS,4096,1,relinearize,1,28,0.528086,measured
SEAL,CKKS,4096,1,relinearize,1,29,0.527638,measured
SEAL,CKKS,4096,1,relinearize,1,30,0.531747,measured
SEAL,CKKS,4096,1,relinearize,1,31,0.531848,measured
SEAL,CKKS,4096,1,relinearize,1,32,0.534352,measured
SEAL,CKKS,4096,1,relinearize,1,33,0.528406,measured
SEAL,CKKS,4096,1,relinearize,1,34,0.526637,measured
SEAL,CKKS,4096,1,relinearize,1,35,0.527735,measured
SEAL,CKKS,4096,1,relinearize,1,36,0.535936,measured
SEAL,CKKS,4096,1,relinearize,1,37,0.530042,measured
SEAL,CKKS,4096,1,relinearize,1,38,0.530179,measured
SEAL,CKKS,4096,1,relinearize,1,39,0.527498,measured
SEAL,CKKS,4096,1,relinearize,1,40,0.530305,measured
SEAL,CKKS,4096,1,relinearize,1,41,0.53248,measured
SEAL,CKKS,4096,1,relinearize,1,42,0.531083,measured
SEAL,CKKS,4096,1,relinearize,1,43,0.53221,measured
SEAL,CKKS,4096,1,relinearize,1,44,0.528688,measured
