library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,4096,3,encrypt,1,0,0.815905,warmup
SEAL,CKKS,4096,3,encrypt,1,1,0.823816,warmup
SEAL,CKKS,4096,3,encrypt,1,2,0.819694,warmup
SEAL,CKKS,4096,3,encrypt,1,3,0.824425,warmup
SEAL,CKKS,4096,3,encrypt,1,4,0.822274,warmup
SEAL,CKKS,4096,3,encrypt,1,5,0.818274,measured
SEAL,CKKS,4096,3,encrypt,1,6,0.821771,measured
SEAL,CKKS,4096,3,encrypt,1,7,0.821737,measured
SEAL,CKKS,4096,3,encrypt,1,8,0.82277,measured
SEAL,CKKS,4096,3,encrypt,1,9,0.816458,measured
SEAL,CKKS,4096,3,encrypt,1,10,0.816178,measured
SEAL,CKKS,4096,3,encrypt,1,11,0.816407,measured
SEAL,CKKS,4096,3,encrypt,1,12,0.814332,measured
SEAL,CKKS,4096,3,encrypt,1,13,0.814615,measured
SEAL,CKKS,4096,3,encrypt,1,14,0.808803,measured
SEAL,CKKS,4096,3,encrypt,1,15,0.827981,measured
SEAL,CKKS,4096,3,encrypt,1,16,0.826316,measured
SEAL,CKKS,4096,3,encrypt,1,17,0.821718,measured
SEAL,CKKS,4096,3,encrypt,1,18,0.825641,measured
SEAL,CKKS,4096,3,encrypt,1,19,0.817369,measured
SEAL,CKKS,4096,3,encrypt,1,20,0.821058,measured
SEAL,CKKS,4096,3,encrypt,1,21,0.811916,measured
SEAL,CKKS,4096,3,encrypt,1,22,0.814003,measured
SEAL,CKKS,4096,3,encrypt,1,23,0.812562,measured
SEAL,CKKS,4096,3,encrypt,1,24,0.824831,measured
SEAL,CKKS,4096,3,encrypt,1,25,0.820108,measured
SEAL,CKKS,4096,3,encrypt,1,26,0.881265,measured
SEAL,CKKS,4096,3,encrypt,1,27,0.840432,measured
SEAL,CKKS,4096,3,encrypt,1,28,0.82075,measured
SEAL,CKKS,4096,3,encrypt,1,29,0.817428,measured
SEAL,CKKS,4096,3,encrypt,1,30,0.819042,measured
SEAL,CKKS,4096,3,encrypt,1,31,0.834109,measured
SEAL,CKKS,4096,3,encrypt,1,32,0.810936,measured
SEAL,CKKS,4096,3,encrypt,1,33,0.821084,measured
SEAL,CKKS,4096,3,encrypt,1,34,0.816835,measured
SEAL,CKKS,4096,3,encrypt,1,35,0.821862,measured
SEAL,CKKS,4096,3,encrypt,1,36,0.817432,measured
SEAL,CKKS,4096,3,encrypt,1,37,0.810055,measured
SEAL,CKKS,4096,3,encrypt,1,38,0.810948,measured
SEAL,CKKS,4096,3,encrypt,1,39,0.80777,measured
SEAL,CKKS,4096,3,encrypt,1,40,0.814266,measured
SEAL,CKKS,4096,3,encrypt,1,41,0.808827,measured
SEAL,CKKS,4096,3,encrypt,1,42,0.816098,measured
SEAL,CKKS,4096,3,encrypt,1,43,0.811009,measured
SEAL,CKKS,4096,3,encrypt,1,44,0.80565,measured
SEAL,CKKS,4096,3,encrypt,1,45,0.807846,measured
SEAL,CKKS,4096,3,encrypt,1,46,0.81745,measured
SEAL,CKKS,4096,3,encrypt,1,47,0.807232,measured
SEAL,CKKS,4096,3,encrypt,1,48,0.812078,measured
SEAL,CKKS,4096,3,encrypt,1,49,0.818387,measured
SEAL,CKKS,4096,3,encrypt,1,50,0.833243,measured
SEAL,CKKS,4096,3,encrypt,1,51,0.827175,measured
SEAL,CKKS,4096,3,encrypt,1,52,0.81949,measured
SEAL,CKKS,4096,3,encrypt,1,53,0.817526,measured
SEAL,CKKS,4096,3,encrypt,1,54,0.808145,measured
SEAL,CKKS,4096,3,encrypt,1,55,0.815805,measured
SEAL,CKKS,4096,3,encrypt,1,56,0.813012,measured
SEAL,CKKS,4096,3,encrypt,1,57,0.833598,measured
SEAL,CKKS,4096,3,encrypt,1,58,0.814842,measured
SEAL,CKKS,4096,3,encrypt,1,59,0.816056,measured
SEAL,CKKS,4096,3,encrypt,1,60,0.819165,measured
SEAL,CKKS,4096,3,encrypt,1,61,0.812375,measured
SEAL,CKKS,4096,3,encrypt,1,62,0.812768,measured
SEAL,CKKS,4096,3,encrypt,1,63,0.816661,measured
SEAL,CKKS,4096,3,encrypt,1,64,0.822854,measured
SEAL,CKKS,4096,3,encrypt,1,65,0.814461,measured
SEAL,CKKS,4096,3,encrypt,1,66,0.807764,measured
SEAL,CKKS,4096,3,encrypt,1,67,0.810024,measured
SEAL,CKKS,4096,3,encrypt,1,68,0.81722,measured
SEAL,CKKS,4096,3,encrypt,1,69,0.813686,measured
SEAL,CKKS,4096,3,encrypt,1,70,0.810095,measured
SEAL,CKKS,4096,3,encrypt,1,71,0.814788,measured
SEAL,CKKS,4096,3,encrypt,1,72,0.81815,measured
SEAL,CKKS,4096,3,encrypt,1,73,0.821827,measured
SEAL,CKKS,4096,3,encrypt,1,74,0.819101,measured
SEAL,CKKS,4096,3,encrypt,1,75,0.822663,measured
SEAL,CKKS,4096,3,encrypt,1,76,0.814872,measured
SEAL,CKKS,4096,3,encrypt,1,77,0.809546,measured
SEAL,CKKS,4096,3,encrypt,1,78,0.809992,measured
SEAL,CKKS,4096,3,encrypt,1,79,0.810902,measured
SEAL,CKKS,4096,3,encrypt,1,80,0.844824,measured
SEAL,CKKS,4096,3,encrypt,1,81,0.851344,measured
SEAL,CKKS,4096,3,encrypt,1,82,0.878619,measured
SEAL,CKKS,4096,3,encrypt,1,83,0.840753,measured
SEAL,CKKS,4096,3,encrypt,1,84,0.817866,measured
SEAL,CKKS,4096,3,encrypt,1,85,0.813834,measured
SEAL,CKKS,4096,3,encrypt,1,86,0.813864,measured
SEAL,CKKS,4096,3,encrypt,1,87,0.817703,measured
