library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,4096,5,add,1,0,0.0122092,warmup
SEAL,CKKS,4096,5,add,1,1,0.0136231,warmup
SEAL,CKKS,4096,5,add,1,2,0.0176707,warmup
SEAL,CKKS,4096,5,add,1,3,0.0107966,warmup
SEAL,CKKS,4096,5,add,1,4,0.0129866,warmup
SEAL,CKKS,4096,5,add,1,5,0.0114946,measured
SEAL,CKKS,4096,5,add,1,6,0.0135774,measured
SEAL,CKKS,4096,5,add,1,7,0.0113524,measured
SEAL,CKKS,4096,5,add,1,8,0.0128686,measured
SEAL,CKKS,4096,5,add,1,9,0.0145135,measured
SEAL,CKKS,4096,5,add,1,10,0.0134408,measured
SEAL,CKKS,4096,5,add,1,11,0.012728,measured
SEAL,CKKS,4096,5,add,1,12,0.0127442,measured
SEAL,CKKS,4096,5,add,1,13,0.0151042,measured
SEAL,CKKS,4096,5,add,1,14,0.0135631,measured
SEAL,CKKS,4096,5,add,1,15,0.0148921,measured
SEAL,CKKS,4096,5,add,1,16,0.014771,measured
SEAL,CKKS,4096,5,add,1,17,0.0147917,measured
SEAL,CKKS,4096,5,add,1,18,0.0148781,measured
SEAL,CKKS,4096,5,add,1,19,0.0139715,measured
SEAL,CKKS,4096,5,add,1,20,0.0127891,measured
SEAL,CKKS,4096,5,add,1,21,0.0129304,measured
SEAL,CKKS,4096,5,add,1,22,0.0120837,measured
SEAL,CKKS,4096,5,add,1,23,0.0149181,measured
SEAL,CKKS,4096,5,add,1,24,0.0161036,measured
SEAL,CKKS,4096,5,add,1,25,0.0131083,measured
SEAL,CKKS,4096,5,add,1,26,0.0148933,measured
SEAL,CKKS,4096,5,add,1,27,0.0137345,measured
SEAL,CKKS,4096,5,add,1,28,0.0124575,measured
SEAL,CKKS,4096,5,add,1,29,0.0141343,measured
SEAL,CKKS,4096,5,add,1,30,0.014339,measured
SEAL,CKKS,4096,5,add,1,31,0.0126451,measured
SEAL,CKKS,4096,5,add,1,32,0.0152007,measured
SEAL,CKKS,4096,5,add,1,33,0.0125278,measured
SEAL,CKKS,4096,5,add,1,34,0.0135379,measured
SEAL,CKKS,4096,5,add,1,35,0.0148035,measured
SEAL,CKKS,4096,5,add,1,36,0.012508,measured
SEAL,CKKS,4096,5,add,1,37,0.0131489,measured
SEAL,CKKS,4096,5,add,1,38,0.0129613,measured
SEAL,CKKS,4096,5,add,1,39,0.0120454,measured
SEAL,CKKS,4096,5,add,1,40,0.0134056,measured
SEAL,CKKS,4096,5,add,1,41,0.0149516,measured
SEAL,CKKS,4096,5,add,1,42,0.0133839,measured
SEAL,CKKS,4096,5,add,1,43,0.0150811,measured
SEAL,CKKS,4096,5,add,1,44,0.0142467,measured
SEAL,CKKS,4096,5,add,1,45,0.0125072,measured
SEAL,CKKS,4096,5,add,1,46,0.0148199,measured
SEAL,CKKS,4096,5,add,1,47,0.0128058,measured
SEAL,CKKS,4096,5,add,1,48,0.0133115,measured
SEAL,CKKS,4096,5,add,1,49,0.0132191,measured
SEAL,CKKS,4096,5,add,1,50,0.0128092,measured
SEAL,CKKS,4096,5,add,1,51,0.0148735,measured
SEAL,CKKS,4096,5,add,1,52,0.0130661,measured
SEAL,CKKS,4096,5,add,1,53,0.0155104,measured
SEAL,CKKS,4096,5,add,1,54,0.0127337,measured
SEAL,CKKS,4096,5,add,1,55,0.0129218,measured
SEAL,CKKS,4096,5,add,1,56,0.0127292,measured
SEAL,CKKS,4096,5,add,1,57,0.0130602,measured
SEAL,CKKS,4096,5,add,1,58,0.0151952,measured
SEAL,CKKS,4096,5,add,1,59,0.014953,measured
SEAL,CKKS,4096,5,add,1,60,0.0127379,measured
SEAL,CKKS,4096,5,add,1,61,0.013476,measured
SEAL,CKKS,4096,5,add,1,62,0.0147042,measured
SEAL,CKKS,4096,5,add,1,63,0.0130867,measured
SEAL,CKKS,4096,5,add,1,64,0.0141065,measured
SEAL,CKKS,4096,5,add,1,65,0.0157127,measured
SEAL,CKKS,4096,5,add,1,66,0.0120548,measured
SEAL,CKKS,4096,5,add,1,67,0.0123325,measured
SEAL,CKKS,4096,5,add,1,68,0.011978,measured
SEAL,CKKS,4096,5,add,1,69,0.0140936,measured
SEAL,CKKS,4096,5,add,1,70,0.0107744,measured
SEAL,CKKS,4096,5,add,1,71,0.0126863,measured
SEAL,CKKS,4096,5,add,1,72,0.0109976,measured
SEAL,CKKS,4096,5,add,1,73,0.00983568,measured
SEAL,CKKS,4096,5,add,1,74,0.0111569,measured
SEAL,CKKS,4096,5,add,1,75,0.0100928,measured
SEAL,CKKS,4096,5,add,1,76,0.0103049,measured
SEAL,CKKS,4096,5,add,1,77,0.010009,measured
SEAL,CKKS,4096,5,add,1,78,0.010135,measured
SEAL,CKKS,4096,5,add,1,79,0.010175,measured
SEAL,CKKS,4096,5,add,1,80,0.0103904,measured
SEAL,CKKS,4096,5,add,1,81,0.0102742,measured
SEAL,CKKS,4096,5,add,1,82,0.0198348,measured
SEAL,CKKS,4096,5,add,1,83,0.0115286,measured
SEAL,CKKS,4096,5,add,1,84,0.0105265,measured
SEAL,CKKS,4096,5,add,1,85,0.00981242,measured
SEAL,CKKS,4096,5,add,1,86,0.0114715,measured
SEAL,CKKS,4096,5,add,1,87,0.0110238,measured
SEAL,CKKS,4096,5,add,1,88,0.0101543,measured
SEAL,CKKS,4096,5,add,1,89,0.0104426,measured
SEAL,CKKS,4096,5,add,1,90,0.0104781,measured
SEAL,CKKS,4096,5,add,1,91,0.0111552,measured
SEAL,CKKS,4096,5,add,1,92,0.0112938,measured
