library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,8192,1,multiply,1,0,0.419693,warmup
SEAL,CKKS,8192,1,multiply,1,1,0.422916,warmup
SEAL,CKKS,8192,1,multiply,1,2,0.418889,warmup
SEAL,CKKS,8192,1,multiply,1,3,0.417858,warmup
SEAL,CKKS,8192,1,multiply,1,4,0.420563,warmup
SEAL,CKKS,8192,1,multiply,1,5,0.418027,measured
SEAL,CKKS,8192,1,multiply,1,6,0.418363,measured
SEAL,CKKS,8192,1,multiply,1,7,0.419811,measured
SEAL,CKKS,8192,1,multiply,1,8,0.430465,measured
SEAL,CKKS,8192,1,multiply,1,9,0.425637,measured
SEAL,CKKS,8192,1,multiply,1,10,0.415348,measured
SEAL,CKKS,8192,1,multiply,1,11,0.432944,measured
SEAL,CKKS,8192,1,multiply,1,12,0.41877,measured
SEAL,CKKS,8192,1,multiply,1,13,0.41939,measured
SEAL,CKKS,8192,1,multiply,1,14,0.418483,measured
SEAL,CKKS,8192,1,multiply,1,15,0.418612,measured
SEAL,CKKS,8192,1,multiply,1,16,0.41614,measured
SEAL,CKKS,8192,1,multiply,1,17,0.417994,measured
SEAL,CKKS,8192,1,multiply,1,18,0.422313,measured
SEAL,CKKS,8192,1,multiply,1,19,0.418856,measured
SEAL,CKKS,8192,1,multiply,1,20,0.416834,measured
SEAL,CKKS,8192,1,multiply,1,21,0.415632,measured
SEAL,CKKS,8192,1,multiply,1,22,0.417593,measured
SEAL,CKKS,8192,1,multiply,1,23,0.416752,measured
SEAL,CKKS,8192,1,multiply,1,24,0.418345,measured
SEAL,CKKS,8192,1,multiply,1,25,0.418026,measured
SEAL,CKKS,8192,1,multiply,1,26,0.41821,measured
SEAL,CKKS,8192,1,multiply,1,27,0.417822,measured
SEAL,CKKS,8192,1,multiply,1,28,0.417824,measured
SEAL,CKKS,8192,1,multiply,1,29,0.415762,measured
SEAL,CKKS,8192,1,multiply,1,30,0.416457,measured
