library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,8192,3,keygen,1,0,46.9701,warmup
SEAL,CKKS,8192,3,keygen,1,1,42.3547,warmup
SEAL,CKKS,8192,3,keygen,1,2,45.1696,warmup
SEAL,CKKS,8192,3,keygen,1,3,43.0721,warmup
SEAL,CKKS,8192,3,keygen,1,4,43.9035,warmup
SEAL,CKKS,8192,3,keygen,1,5,43.8264,measured
SEAL,CKKS,8192,3,keygen,1,6,44.8461,measured
SEAL,CKKS,8192,3,keygen,1,7,44.0002,measured
SEAL,CKKS,8192,3,keygen,1,8,42.4766,measured
SEAL,CKKS,8192,3,keygen,1,9,43.6837,measured
SEAL,CKKS,8192,3,keygen,1,10,44.3206,measured
SEAL,CKKS,8192,3,keygen,1,11,44.4288,measured
SEAL,CKKS,8192,3,keygen,1,12,44.1153,measured
SEAL,CKKS,8192,3,keygen,1,13,43.7139,measured
SEAL,CKKS,8192,3,keygen,1,14,44.3498,measured
SEAL,CKKS,8192,3,keygen,1,15,42.9796,measured
SEAL,CKKS,8192,3,keygen,1,16,44.3843,measured
SEAL,CKKS,8192,3,keygen,1,17,43.5139,measured
SEAL,CKKS,8192,3,keygen,1,18,44.7738,measured
SEAL,CKKS,8192,3,keygen,1,19,43.9628,measured
SEAL,CKKS,8192,3,keygen,1,20,44.098,measured
SEAL,CKKS,8192,3,keygen,1,21,43.6802,measured
SEAL,CKKS,8192,3,keygen,1,22,42.4851,measured
SEAL,CKKS,8192,3,keygen,1,23,43.7466,measured
SEAL,CKKS,8192,3,keygen,1,24,43.4856,measured
SEAL,CKKS,8192,3,keygen,1,25,43.9014,measured
SEAL,CKKS,8192,3,keygen,1,26,43.3801,measured
SEAL,CKKS,8192,3,keygen,1,27,41.9591,measured
SEAL,CKKS,8192,3,keygen,1,28,43.9165,measured
SEAL,CKKS,8192,3,keygen,1,29,41.3488,measured
SEAL,CKKS,8192,3,keygen,1,30,43.4925,measured
SEAL,CKKS,8192,3,keygen,1,31,43.6273,measured
SEAL,CKKS,8192,3,keygen,1,32,42.0635,measured
