library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,8192,5,keygen,1,0,26.0287,warmup
SEAL,CKKS,8192,5,keygen,1,1,24.6767,warmup
SEAL,CKKS,8192,5,keygen,1,2,23.0442,warmup
SEAL,CKKS,8192,5,keygen,1,3,24.68,warmup
SEAL,CKKS,8192,5,keygen,1,4,24.6184,warmup
SEAL,CKKS,8192,5,keygen,1,5,24.8349,measured
SEAL,CKKS,8192,5,keygen,1,6,24.5225,measured
SEAL,CKKS,8192,5,keygen,1,7,24.3413,measured
SEAL,CKKS,8192,5,keygen,1,8,24.6811,measured
SEAL,CKKS,8192,5,keygen,1,9,24.685,measured
SEAL,CKKS,8192,5,keygen,1,10,22.8734,measured
SEAL,CKKS,8192,5,keygen,1,11,24.8961,measured
SEAL,CKKS,8192,5,keygen,1,12,25.2672,measured
SEAL,CKKS,8192,5,keygen,1,13,24.8294,measured
SEAL,CKKS,8192,5,keygen,1,14,24.7419,measured
SEAL,CKKS,8192,5,keygen,1,15,22.8212,measured
SEAL,CKKS,8192,5,keygen,1,16,24.7035,measured
SEAL,CKKS,8192,5,keygen,1,17,24.6956,measured
SEAL,CKKS,8192,5,keygen,1,18,24.8081,measured
SEAL,CKKS,8192,5,keygen,1,19,23.1094,measured
SEAL,CKKS,8192,5,keygen,1,20,24.1871,measured
SEAL,CKKS,8192,5,keygen,1,21,24.0942,measured
SEAL,CKKS,8192,5,keygen,1,22,24.4456,measured
SEAL,CKKS,8192,5,keygen,1,23,22.9946,measured
SEAL,CKKS,8192,5,keygen,1,24,24.9466,measured
SEAL,CKKS,8192,5,keygen,1,25,25.1978,measured
SEAL,CKKS,8192,5,keygen,1,26,24.531,measured
SEAL,CKKS,8192,5,keygen,1,27,24.6768,measured
SEAL,CKKS,8192,5,keygen,1,28,24.6293,measured
SEAL,CKKS,8192,5,keygen,1,29,24.5395,measured
SEAL,CKKS,8192,5,keygen,1,30,24.712,measured
SEAL,CKKS,8192,5,keygen,1,31,24.6632,measured
SEAL,CKKS,8192,5,keygen,1,32,24.2149,measured
SEAL,CKKS,8192,5,keygen,1,33,24.9267,measured
SEAL,CKKS,8192,5,keygen,1,34,24.5823,measured
SEAL,CKKS,8192,5,keygen,1,35,24.4359,measured
SEAL,CKKS,8192,5,keygen,1,36,22.8308,measured
SEAL,CKKS,8192,5,keygen,1,37,24.8846,measured
SEAL,CKKS,8192,5,keygen,1,38,24.802,measured
SEAL,CKKS,8192,5,keygen,1,39,24.7631,measured
SEAL,CKKS,8192,5,keygen,1,40,22.9835,measured
SEAL,CKKS,8192,5,keygen,1,41,24.6937,measured
SEAL,CKKS,8192,5,keygen,1,42,24.5408,measured
SEAL,CKKS,8192,5,keygen,1,43,24.5602,measured
SEAL,CKKS,8192,5,keygen,1,44,24.4908,measured
SEAL,CKKS,8192,5,keygen,1,45,22.3203,measured
SEAL,CKKS,8192,5,keygen,1,46,24.6913,measured
SEAL,CKKS,8192,5,keygen,1,47,24.8179,measured
SEAL,CKKS,8192,5,keygen,1,48,24.9341,measured
SEAL,CKKS,8192,5,keygen,1,49,22.513,measured
SEAL,CKKS,8192,5,keygen,1,50,24.5475,measured
SEAL,CKKS,8192,5,keygen,1,51,24.2856,measured
SEAL,CKKS,8192,5,keygen,1,52,24.5474,measured
SEAL,CKKS,8192,5,keygen,1,53,22.7854,measured
SEAL,CKKS,8192,5,keygen,1,54,24.745,measured
SEAL,CKKS,8192,5,keygen,1,55,24.3562,measured
SEAL,CKKS,8192,5,keygen,1,56,25.0292,measured
SEAL,CKKS,8192,5,keygen,1,57,24.3972,measured
SEAL,CKKS,8192,5,keygen,1,58,24.9072,measured
SEAL,CKKS,8192,5,keygen,1,59,24.3544,measured
SEAL,CKKS,8192,5,keygen,1,60,24.4376,measured
SEAL,CKKS,8192,5,keygen,1,61,24.2229,measured
SEAL,CKKS,8192,5,keygen,1,62,22.4596,measured
SEAL,CKKS,8192,5,keygen,1,63,24.5601,measured
SEAL,CKKS,8192,5,keygen,1,64,25.0848,measured
SEAL,CKKS,8192,5,keygen,1,65,25.0863,measured
SEAL,CKKS,8192,5,keygen,1,66,22.7678,measured
SEAL,CKKS,8192,5,keygen,1,67,24.2379,measured
SEAL,CKKS,8192,5,keygen,1,68,24.182,measured
