library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,16384,3,add,1,0,0.195156,warmup
SEAL,BFV,16384,3,add,1,1,0.194834,warmup
SEAL,BFV,16384,3,add,1,2,0.194034,warmup
SEAL,BFV,16384,3,add,1,3,0.197863,warmup
SEAL,BFV,16384,3,add,1,4,0.198366,warmup
SEAL,BFV,16384,3,add,1,5,0.197472,measured
SEAL,BFV,16384,3,add,1,6,0.197419,measured
SEAL,BFV,16384,3,add,1,7,0.198214,measured
SEAL,BFV,16384,3,add,1,8,0.200042,measured
SEAL,BFV,16384,3,add,1,9,0.197578,measured
SEAL,BFV,16384,3,add,1,10,0.198404,measured
SEAL,BFV,16384,3,add,1,11,0.198259,measured
SEAL,BFV,16384,3,add,1,12,0.19628,measured
SEAL,BFV,16384,3,add,1,13,0.196204,measured
SEAL,BFV,16384,3,add,1,14,0.198942,measured
SEAL,BFV,16384,3,add,1,15,0.198631,measured
SEAL,BFV,16384,3,add,1,16,0.214329,measured
SEAL,BFV,16384,3,add,1,17,0.19455,measured
SEAL,BFV,16384,3,add,1,18,0.197078,measured
SEAL,BFV,16384,3,add,1,19,0.194992,measured
SEAL,BFV,16384,3,add,1,20,0.197933,measured
SEAL,BFV,16384,3,add,1,21,0.199834,measured
SEAL,BFV,16384,3,add,1,22,0.199086,measured
SEAL,BFV,16384,3,add,1,23,0.197727,measured
SEAL,BFV,16384,3,add,1,24,0.198167,measured
SEAL,BFV,16384,3,add,1,25,0.197514,measured
SEAL,BFV,16384,3,add,1,26,0.197075,measured
SEAL,BFV,16384,3,add,1,27,0.19554,measured
SEAL,BFV,16384,3,add,1,28,0.195261,measured
SEAL,BFV,16384,3,add,1,29,0.197139,measured
SEAL,BFV,16384,3,add,1,30,0.198961,measured
SEAL,BFV,16384,3,add,1,31,0.195476,measured
SEAL,BFV,16384,3,add,1,32,0.195231,measured
SEAL,BFV,16384,3,add,1,33,0.195342,measured
SEAL,BFV,16384,3,add,1,34,0.198222,measured
SEAL,BFV,16384,3,add,1,35,0.195397,measured
SEAL,BFV,16384,3,add,1,36,0.194852,measured
SEAL,BFV,16384,3,add,1,37,0.199043,measured
SEAL,BFV,16384,3,add,1,38,0.206347,measured
SEAL,BFV,16384,3,add,1,39,0.197534,measured
SEAL,BFV,16384,3,add,1,40,0.229416,measured
SEAL,BFV,16384,3,add,1,41,0.198342,measured
SEAL,BFV,16384,3,add,1,42,0.199435,measured
SEAL,BFV,16384,3,add,1,43,0.197464,measured
SEAL,BFV,16384,3,add,1,44,0.198071,measured
SEAL,BFV,16384,3,add,1,45,0.197162,measured
SEAL,BFV,16384,3,add,1,46,0.197998,measured
SEAL,BFV,16384,3,add,1,47,0.19823,measured
SEAL,BFV,16384,3,add,1,48,0.197621,measured
SEAL,BFV,16384,3,add,1,49,0.197295,measured
SEAL,BFV,16384,3,add,1,50,0.198611,measured
SEAL,BFV,16384,3,add,1,51,0.198341,measured
SEAL,BFV,16384,3,add,1,52,0.194833,measured
SEAL,BFV,16384,3,add,1,53,0.195783,measured
SEAL,BFV,16384,3,add,1,54,0.198567,measured
SEAL,BFV,16384,3,add,1,55,0.19777,measured
SEAL,BFV,16384,3,add,1,56,0.197334,measured
SEAL,BFV,16384,3,add,1,57,0.197869,measured
SEAL,BFV,16384,3,add,1,58,0.197891,measured
SEAL,BFV,16384,3,add,1,59,0.199025,measured
SEAL,BFV,16384,3,add,1,60,0.198605,measured
SEAL,BFV,16384,3,add,1,61,0.198598,measured
SEAL,BFV,16384,3,add,1,62,0.196085,measured
SEAL,BFV,16384,3,add,1,63,0.19726,measured
SEAL,BFV,16384,3,add,1,64,0.195038,measured
SEAL,BFV,16384,3,add,1,65,0.195647,measured
SEAL,BFV,16384,3,add,1,66,0.198273,measured
SEAL,BFV,16384,3,add,1,67,0.195902,measured
SEAL,BFV,16384,3,add,1,68,0.197187,measured
SEAL,BFV,16384,3,add,1,69,0.198571,measured
SEAL,BFV,16384,3,add,1,70,0.19742,measured
SEAL,BFV,16384,3,add,1,71,0.197308,measured
SEAL,BFV,16384,3,add,1,72,0.197724,measured
SEAL,BFV,16384,3,add,1,73,0.198903,measured
SEAL,BFV,16384,3,add,1,74,0.197828,measured
SEAL,BFV,16384,3,add,1,75,0.197821,measured
SEAL,BFV,16384,3,add,1,76,0.199075,measured
SEAL,BFV,16384,3,add,1,77,0.197045,measured
SEAL,BFV,16384,3,add,1,78,0.197863,measured
SEAL,BFV,16384,3,add,1,79,0.198168,measured
SEAL,BFV,16384,3,add,1,80,0.197723,measured
SEAL,BFV,16384,3,add,1,81,0.194574,measured
SEAL,BFV,16384,3,add,1,82,0.197599,measured
SEAL,BFV,16384,3,add,1,83,0.197819,measured
SEAL,BFV,16384,3,add,1,84,0.195828,measured
SEAL,BFV,16384,3,add,1,85,0.194372,measured
SEAL,BFV,16384,3,add,1,86,0.20204,measured
SEAL,BFV,16384,3,add,1,87,0.196344,measured
SEAL,BFV,16384,3,add,1,88,0.196076,measured
SEAL,BFV,16384,3,add,1,89,0.195903,measured
