library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,16384,3,decrypt,1,0,2.58211,warmup
SEAL,BFV,16384,3,decrypt,1,1,2.59751,warmup
SEAL,BFV,16384,3,decrypt,1,2,2.57683,warmup
SEAL,BFV,16384,3,decrypt,1,3,2.57558,warmup
SEAL,BFV,16384,3,decrypt,1,4,2.57493,warmup
SEAL,BFV,16384,3,decrypt,1,5,2.56962,measured
SEAL,BFV,16384,3,decrypt,1,6,2.57366,measured
SEAL,BFV,16384,3,decrypt,1,7,2.57043,measured
SEAL,BFV,16384,3,decrypt,1,8,2.57221,measured
SEAL,BFV,16384,3,decrypt,1,9,2.57231,measured
SEAL,BFV,16384,3,decrypt,1,10,2.5694,measured
SEAL,BFV,16384,3,decrypt,1,11,2.57134,measured
SEAL,BFV,16384,3,decrypt,1,12,2.56796,measured
SEAL,BFV,16384,3,decrypt,1,13,2.57078,measured
SEAL,BFV,16384,3,decrypt,1,14,2.57002,measured
SEAL,BFV,16384,3,decrypt,1,15,2.56692,measured
SEAL,BFV,16384,3,decrypt,1,16,2.56849,measured
SEAL,BFV,16384,3,decrypt,1,17,2.56536,measured
SEAL,BFV,16384,3,decrypt,1,18,2.56764,measured
SEAL,BFV,16384,3,decrypt,1,19,2.56948,measured
SEAL,BFV,16384,3,decrypt,1,20,2.568,measured
SEAL,BFV,16384,3,decrypt,1,21,2.5772,measured
SEAL,BFV,16384,3,decrypt,1,22,2.57223,measured
SEAL,BFV,16384,3,decrypt,1,23,2.57054,measured
SEAL,BFV,16384,3,decrypt,1,24,2.56544,measured
SEAL,BFV,16384,3,decrypt,1,25,2.56903,measured
SEAL,BFV,16384,3,decrypt,1,26,2.57191,measured
SEAL,BFV,16384,3,decrypt,1,27,2.57794,measured
SEAL,BFV,16384,3,decrypt,1,28,2.56836,measured
SEAL,BFV,16384,3,decrypt,1,29,2.57047,measured
SEAL,BFV,16384,3,decrypt,1,30,2.56403,measured
SEAL,BFV,16384,3,decrypt,1,31,2.56904,measured
SEAL,BFV,16384,3,decrypt,1,32,2.56497,measured
SEAL,BFV,16384,3,decrypt,1,33,2.74808,measured
SEAL,BFV,16384,3,decrypt,1,34,2.56931,measured
SEAL,BFV,16384,3,decrypt,1,35,2.57031,measured
SEAL,BFV,16384,3,decrypt,1,36,2.60423,measured
SEAL,BFV,16384,3,decrypt,1,37,2.56887,measured
SEAL,BFV,16384,3,decrypt,1,38,2.57131,measured
SEAL,BFV,16384,3,decrypt,1,39,2.61227,measured
SEAL,BFV,16384,3,decrypt,1,40,2.57047,measured
SEAL,BFV,16384,3,decrypt,1,41,2.57008,measured
SEAL,BFV,16384,3,decrypt,1,42,2.57322,measured
SEAL,BFV,16384,3,decrypt,1,43,2.57015,measured
SEAL,BFV,16384,3,decrypt,1,44,2.5629,measured
SEAL,BFV,16384,3,decrypt,1,45,2.5669,measured
SEAL,BFV,16384,3,decrypt,1,46,2.56997,measured
SEAL,BFV,16384,3,decrypt,1,47,2.569,measured
SEAL,BFV,16384,3,decrypt,1,48,2.57022,measured
SEAL,BFV,16384,3,decrypt,1,49,2.57014,measured
SEAL,BFV,16384,3,decrypt,1,50,2.57196,measured
SEAL,BFV,16384,3,decrypt,1,51,2.56814,measured
SEAL,BFV,16384,3,decrypt,1,52,2.57204,measured
SEAL,BFV,16384,3,decrypt,1,53,2.56862,measured
SEAL,BFV,16384,3,decrypt,1,54,2.56387,measured
SEAL,BFV,16384,3,decrypt,1,55,2.57337,measured
SEAL,BFV,16384,3,decrypt,1,56,2.56428,measured
SEAL,BFV,16384,3,decrypt,1,57,2.56561,measured
SEAL,BFV,16384,3,decrypt,1,58,2.56755,measured
SEAL,BFV,16384,3,decrypt,1,59,2.56283,measured
SEAL,BFV,16384,3,decrypt,1,60,2.56519,measured
SEAL,BFV,16384,3,decrypt,1,61,2.56902,measured
SEAL,BFV,16384,3,decrypt,1,62,2.56791,measured
SEAL,BFV,16384,3,decrypt,1,63,2.5692,measured
SEAL,BFV,16384,3,decrypt,1,64,2.56139,measured
SEAL,BFV,16384,3,decrypt,1,65,2.77221,measured
SEAL,BFV,16384,3,decrypt,1,66,2.57883,measured
SEAL,BFV,16384,3,decrypt,1,67,2.57951,measured
SEAL,BFV,16384,3,decrypt,1,68,2.57799,measured
SEAL,BFV,16384,3,decrypt,1,69,2.5802,measured
SEAL,BFV,16384,3,decrypt,1,70,2.57837,measured
SEAL,BFV,16384,3,decrypt,1,71,2.57996,measured
SEAL,BFV,16384,3,decrypt,1,72,2.5673,measured
SEAL,BFV,16384,3,decrypt,1,73,2.57416,measured
SEAL,BFV,16384,3,decrypt,1,74,2.57255,measured
SEAL,BFV,16384,3,decrypt,1,75,2.65262,measured
SEAL,BFV,16384,3,decrypt,1,76,2.57538,measured
SEAL,BFV,16384,3,decrypt,1,77,2.57292,measured
SEAL,BFV,16384,3,decrypt,1,78,2.57302,measured
SEAL,BFV,16384,3,decrypt,1,79,2.56994,measured
SEAL,BFV,16384,3,decrypt,1,80,2.569,measured
SEAL,BFV,16384,3,decrypt,1,81,2.56711,measured
SEAL,BFV,16384,3,decrypt,1,82,2.56743,measured
SEAL,BFV,16384,3,decrypt,1,83,2.56777,measured
SEAL,BFV,16384,3,decrypt,1,84,2.58096,measured
SEAL,BFV,16384,3,decrypt,1,85,2.56969,measured
SEAL,BFV,16384,3,decrypt,1,86,2.56837,measured
SEAL,BFV,16384,3,decrypt,1,87,2.56986,measured
SEAL,BFV,16384,3,decrypt,1,88,2.56569,measured
SEAL,BFV,16384,3,decrypt,1,89,2.56912,measured
SEAL,BFV,16384,3,decrypt,1,90,2.56742,measured
SEAL,BFV,16384,3,decrypt,1,91,2.56894,measured
SEAL,BFV,16384,3,decrypt,1,92,2.566,measured
SEAL,BFV,16384,3,decrypt,1,93,2.56432,measured
SEAL,BFV,16384,3,decrypt,1,94,2.56629,measured
SEAL,BFV,16384,3,decrypt,1,95,2.56786,measured
SEAL,BFV,16384,3,decrypt,1,96,2.56786,measured
SEAL,BFV,16384,3,decrypt,1,97,2.62904,measured
SEAL,BFV,16384,3,decrypt,1,98,2.56777,measured
SEAL,BFV,16384,3,decrypt,1,99,2.57512,measured
SEAL,BFV,16384,3,decrypt,1,100,2.5722,measured
SEAL,BFV,16384,3,decrypt,1,101,2.57129,measured
SEAL,BFV,16384,3,decrypt,1,102,2.57765,measured
SEAL,BFV,16384,3,decrypt,1,103,2.5807,measured
SEAL,BFV,16384,3,decrypt,1,104,2.57659,measured
