library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,16384,5,relinearize,1,0,4.17718,warmup
SEAL,BFV,16384,5,relinearize,1,1,4.16515,warmup
SEAL,BFV,16384,5,relinearize,1,2,4.16303,warmup
SEAL,BFV,16384,5,relinearize,1,3,4.19399,warmup
SEAL,BFV,16384,5,relinearize,1,4,4.14222,warmup
SEAL,BFV,16384,5,relinearize,1,5,4.16473,measured
SEAL,BFV,16384,5,relinearize,1,6,4.20683,measured
SEAL,BFV,16384,5,relinearize,1,7,4.17296,measured
SEAL,BFV,16384,5,relinearize,1,8,4.1425,measured
SEAL,BFV,16384,5,relinearize,1,9,4.172,measured
SEAL,BFV,16384,5,relinearize,1,10,4.14952,measured
SEAL,BFV,16384,5,relinearize,1,11,4.21264,measured
SEAL,BFV,16384,5,relinearize,1,12,4.26792,measured
SEAL,BFV,16384,5,relinearize,1,13,4.13567,measured
SEAL,BFV,16384,5,relinearize,1,14,4.166,measured
SEAL,BFV,16384,5,relinearize,1,15,4.17472,measured
SEAL,BFV,16384,5,relinearize,1,16,4.16571,measured
SEAL,BFV,16384,5,relinearize,1,17,4.2033,measured
SEAL,BFV,16384,5,relinearize,1,18,4.15909,measured
SEAL,BFV,16384,5,relinearize,1,19,4.1411,measured
SEAL,BFV,16384,5,relinearize,1,20,4.18617,measured
SEAL,BFV,16384,5,relinearize,1,21,4.14592,measured
SEAL,BFV,16384,5,relinearize,1,22,4.26147,measured
SEAL,BFV,16384,5,relinearize,1,23,4.142,measured
SEAL,BFV,16384,5,relinearize,1,24,4.14858,measured
SEAL,BFV,16384,5,relinearize,1,25,4.13151,measured
SEAL,BFV,16384,5,relinearize,1,26,4.12754,measured
SEAL,BFV,16384,5,relinearize,1,27,4.13305,measured
SEAL,BFV,16384,5,relinearize,1,28,4.14261,measured
SEAL,BFV,16384,5,relinearize,1,29,4.29145,measured
SEAL,BFV,16384,5,relinearize,1,30,4.17961,measured
SEAL,BFV,16384,5,relinearize,1,31,4.16344,measured
SEAL,BFV,16384,5,relinearize,1,32,4.14257,measured
SEAL,BFV,16384,5,relinearize,1,33,4.15388,measured
SEAL,BFV,16384,5,relinearize,1,34,4.13432,measured
SEAL,BFV,16384,5,relinearize,1,35,4.30373,measured
SEAL,BFV,16384,5,relinearize,1,36,4.12562,measured
SEAL,BFV,16384,5,relinearize,1,37,4.1784,measured
SEAL,BFV,16384,5,relinearize,1,38,4.18686,measured
SEAL,BFV,16384,5,relinearize,1,39,4.16781,measured
SEAL,BFV,16384,5,relinearize,1,40,4.13367,measured
SEAL,BFV,16384,5,relinearize,1,41,4.15791,measured
SEAL,BFV,16384,5,relinearize,1,42,4.14748,measured
SEAL,BFV,16384,5,relinearize,1,43,4.14839,measured
SEAL,BFV,16384,5,relinearize,1,44,4.17319,measured
SEAL,BFV,16384,5,relinearize,1,45,4.13186,measured
SEAL,BFV,16384,5,relinearize,1,46,4.13837,measured
SEAL,BFV,16384,5,relinearize,1,47,4.13454,measured
SEAL,BFV,16384,5,relinearize,1,48,4.17028,measured
SEAL,BFV,16384,5,relinearize,1,49,4.13807,measured
SEAL,BFV,16384,5,relinearize,1,50,4.19536,measured
SEAL,BFV,16384,5,relinearize,1,51,4.18773,measured
SEAL,BFV,16384,5,relinearize,1,52,4.1357,measured
SEAL,BFV,16384,5,relinearize,1,53,4.14954,measured
SEAL,BFV,16384,5,relinearize,1,54,4.13867,measured
SEAL,BFV,16384,5,relinearize,1,55,4.1315,measured
SEAL,BFV,16384,5,relinearize,1,56,4.14328,measured
SEAL,BFV,16384,5,relinearize,1,57,4.14683,measured
SEAL,BFV,16384,5,relinearize,1,58,4.13155,measured
SEAL,BFV,16384,5,relinearize,1,59,4.1466,measured
SEAL,BFV,16384,5,relinearize,1,60,4.15585,measured
SEAL,BFV,16384,5,relinearize,1,61,4.13774,measured
SEAL,BFV,16384,5,relinearize,1,62,4.14803,measured
SEAL,BFV,16384,5,relinearize,1,63,4.13913,measured
SEAL,BFV,16384,5,relinearize,1,64,4.1362,measured
SEAL,BFV,16384,5,relinearize,1,65,4.17116,measured
SEAL,BFV,16384,5,relinearize,1,66,4.14008,measured
SEAL,BFV,16384,5,relinearize,1,67,4.13815,measured
SEAL,BFV,16384,5,relinearize,1,68,4.12777,measured
SEAL,BFV,16384,5,relinearize,1,69,4.12655,measured
SEAL,BFV,16384,5,relinearize,1,70,4.12113,measured
SEAL,BFV,16384,5,relinearize,1,71,4.15095,measured
