library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,16384,3,add,1,0,0.301802,warmup
SEAL,BGV,16384,3,add,1,1,0.191248,warmup
SEAL,BGV,16384,3,add,1,2,0.190682,warmup
SEAL,BGV,16384,3,add,1,3,0.19036,warmup
SEAL,BGV,16384,3,add,1,4,0.19685,warmup
SEAL,BGV,16384,3,add,1,5,0.190954,measured
SEAL,BGV,16384,3,add,1,6,0.192945,measured
SEAL,BGV,16384,3,add,1,7,0.191815,measured
SEAL,BGV,16384,3,add,1,8,0.190433,measured
SEAL,BGV,16384,3,add,1,9,0.192344,measured
SEAL,BGV,16384,3,add,1,10,0.190458,measured
SEAL,BGV,16384,3,add,1,11,0.191616,measured
SEAL,BGV,16384,3,add,1,12,0.191981,measured
SEAL,BGV,16384,3,add,1,13,0.192715,measured
SEAL,BGV,16384,3,add,1,14,0.194715,measured
SEAL,BGV,16384,3,add,1,15,0.195755,measured
SEAL,BGV,16384,3,add,1,16,0.192082,measured
SEAL,BGV,16384,3,add,1,17,0.193307,measured
SEAL,BGV,16384,3,add,1,18,0.212766,measured
SEAL,BGV,16384,3,add,1,19,0.20354,measured
SEAL,BGV,16384,3,add,1,20,0.194615,measured
SEAL,BGV,16384,3,add,1,21,0.192516,measured
SEAL,BGV,16384,3,add,1,22,0.194227,measured
SEAL,BGV,16384,3,add,1,23,0.191099,measured
SEAL,BGV,16384,3,add,1,24,0.191533,measured
SEAL,BGV,16384,3,add,1,25,0.19263,measured
SEAL,BGV,16384,3,add,1,26,0.19965,measured
SEAL,BGV,16384,3,add,1,27,0.190808,measured
SEAL,BGV,16384,3,add,1,28,0.202983,measured
SEAL,BGV,16384,3,add,1,29,0.197714,measured
SEAL,BGV,16384,3,add,1,30,0.192044,measured
SEAL,BGV,16384,3,add,1,31,0.193056,measured
SEAL,BGV,16384,3,add,1,32,0.190596,measured
SEAL,BGV,16384,3,add,1,33,0.195288,measured
SEAL,BGV,16384,3,add,1,34,0.190813,measured
SEAL,BGV,16384,3,add,1,35,0.193586,measured
SEAL,BGV,16384,3,add,1,36,0.192252,measured
SEAL,BGV,16384,3,add,1,37,0.195397,measured
SEAL,BGV,16384,3,add,1,38,0.191677,measured
SEAL,BGV,16384,3,add,1,39,0.195616,measured
SEAL,BGV,16384,3,add,1,40,0.190202,measured
SEAL,BGV,16384,3,add,1,41,0.2002,measured
SEAL,BGV,16384,3,add,1,42,0.191973,measured
SEAL,BGV,16384,3,add,1,43,0.191183,measured
SEAL,BGV,16384,3,add,1,44,0.188856,measured
SEAL,BGV,16384,3,add,1,45,0.190607,measured
SEAL,BGV,16384,3,add,1,46,0.191724,measured
SEAL,BGV,16384,3,add,1,47,0.189743,measured
SEAL,BGV,16384,3,add,1,48,0.191515,measured
SEAL,BGV,16384,3,add,1,49,0.190818,measured
SEAL,BGV,16384,3,add,1,50,0.195028,measured
SEAL,BGV,16384,3,add,1,51,0.190984,measured
SEAL,BGV,16384,3,add,1,52,0.190041,measured
SEAL,BGV,16384,3,add,1,53,0.189181,measured
SEAL,BGV,16384,3,add,1,54,0.190467,measured
SEAL,BGV,16384,3,add,1,55,0.192018,measured
SEAL,BGV,16384,3,add,1,56,0.19232,measured
SEAL,BGV,16384,3,add,1,57,0.193093,measured
SEAL,BGV,16384,3,add,1,58,0.190284,measured
SEAL,BGV,16384,3,add,1,59,0.189825,measured
