library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,16384,5,encrypt,1,0,6.72846,warmup
SEAL,BGV,16384,5,encrypt,1,1,6.71428,warmup
SEAL,BGV,16384,5,encrypt,1,2,6.73207,warmup
SEAL,BGV,16384,5,encrypt,1,3,6.73015,warmup
SEAL,BGV,16384,5,encrypt,1,4,6.75784,warmup
SEAL,BGV,16384,5,encrypt,1,5,6.70184,measured
SEAL,BGV,16384,5,encrypt,1,6,6.72085,measured
SEAL,BGV,16384,5,encrypt,1,7,6.71546,measured
SEAL,BGV,16384,5,encrypt,1,8,6.70187,measured
SEAL,BGV,16384,5,encrypt,1,9,6.70096,measured
SEAL,BGV,16384,5,encrypt,1,10,6.72305,measured
SEAL,BGV,16384,5,encrypt,1,11,6.68027,measured
SEAL,BGV,16384,5,encrypt,1,12,6.70637,measured
SEAL,BGV,16384,5,encrypt,1,13,6.69786,measured
SEAL,BGV,16384,5,encrypt,1,14,6.92764,measured
SEAL,BGV,16384,5,encrypt,1,15,6.70447,measured
SEAL,BGV,16384,5,encrypt,1,16,6.72038,measured
SEAL,BGV,16384,5,encrypt,1,17,6.7295,measured
SEAL,BGV,16384,5,encrypt,1,18,6.70702,measured
SEAL,BGV,16384,5,encrypt,1,19,6.77689,measured
SEAL,BGV,16384,5,encrypt,1,20,6.67975,measured
SEAL,BGV,16384,5,encrypt,1,21,6.67938,measured
SEAL,BGV,16384,5,encrypt,1,22,6.69424,measured
SEAL,BGV,16384,5,encrypt,1,23,6.70384,measured
SEAL,BGV,16384,5,encrypt,1,24,6.84499,measured
SEAL,BGV,16384,5,encrypt,1,25,6.77992,measured
SEAL,BGV,16384,5,encrypt,1,26,6.69876,measured
SEAL,BGV,16384,5,encrypt,1,27,6.69581,measured
SEAL,BGV,16384,5,encrypt,1,28,6.69625,measured
SEAL,BGV,16384,5,encrypt,1,29,6.69379,measured
SEAL,BGV,16384,5,encrypt,1,30,6.72442,measured
SEAL,BGV,16384,5,encrypt,1,31,6.69366,measured
SEAL,BGV,16384,5,encrypt,1,32,6.73723,measured
SEAL,BGV,16384,5,encrypt,1,33,6.70696,measured
SEAL,BGV,16384,5,encrypt,1,34,6.70963,measured
SEAL,BGV,16384,5,encrypt,1,35,6.7544,measured
SEAL,BGV,16384,5,encrypt,1,36,6.70781,measured
SEAL,BGV,16384,5,encrypt,1,37,6.71208,measured
SEAL,BGV,16384,5,encrypt,1,38,6.69509,measured
SEAL,BGV,16384,5,encrypt,1,39,6.6849,measured
SEAL,BGV,16384,5,encrypt,1,40,6.68942,measured
SEAL,BGV,16384,5,encrypt,1,41,6.73245,measured
SEAL,BGV,16384,5,encrypt,1,42,6.69575,measured
SEAL,BGV,16384,5,encrypt,1,43,6.99136,measured
SEAL,BGV,16384,5,encrypt,1,44,6.70044,measured
SEAL,BGV,16384,5,encrypt,1,45,6.72157,measured
SEAL,BGV,16384,5,encrypt,1,46,6.81865,measured
SEAL,BGV,16384,5,encrypt,1,47,6.87666,measured
SEAL,BGV,16384,5,encrypt,1,48,6.6953,measured
SEAL,BGV,16384,5,encrypt,1,49,6.70141,measured
SEAL,BGV,16384,5,encrypt,1,50,6.78443,measured
SEAL,BGV,16384,5,encrypt,1,51,6.72564,measured
SEAL,BGV,16384,5,encrypt,1,52,6.68326,measured
SEAL,BGV,16384,5,encrypt,1,53,6.67837,measured
SEAL,BGV,16384,5,encrypt,1,54,6.67863,measured
SEAL,BGV,16384,5,encrypt,1,55,6.70756,measured
SEAL,BGV,16384,5,encrypt,1,56,6.6918,measured
SEAL,BGV,16384,5,encrypt,1,57,6.69421,measured
SEAL,BGV,16384,5,encrypt,1,58,6.71157,measured
