library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,16384,3,keygen,1,0,157.703,warmup
SEAL,CKKS,16384,3,keygen,1,1,145.78,warmup
SEAL,CKKS,16384,3,keygen,1,2,140.915,warmup
SEAL,CKKS,16384,3,keygen,1,3,142.354,warmup
SEAL,CKKS,16384,3,keygen,1,4,141.467,warmup
SEAL,CKKS,16384,3,keygen,1,5,138.119,measured
SEAL,CKKS,16384,3,keygen,1,6,139.817,measured
SEAL,CKKS,16384,3,keygen,1,7,138.643,measured
SEAL,CKKS,16384,3,keygen,1,8,137.627,measured
SEAL,CKKS,16384,3,keygen,1,9,139.724,measured
SEAL,CKKS,16384,3,keygen,1,10,138.694,measured
SEAL,CKKS,16384,3,keygen,1,11,136.935,measured
SEAL,CKKS,16384,3,keygen,1,12,139.258,measured
SEAL,CKKS,16384,3,keygen,1,13,142.432,measured
SEAL,CKKS,16384,3,keygen,1,14,139.799,measured
SEAL,CKKS,16384,3,keygen,1,15,137.513,measured
SEAL,CKKS,16384,3,keygen,1,16,138.491,measured
SEAL,CKKS,16384,3,keygen,1,17,137.66,measured
SEAL,CKKS,16384,3,keygen,1,18,139.669,measured
SEAL,CKKS,16384,3,keygen,1,19,139.381,measured
SEAL,CKKS,16384,3,keygen,1,20,136.722,measured
SEAL,CKKS,16384,3,keygen,1,21,141.041,measured
SEAL,CKKS,16384,3,keygen,1,22,137.681,measured
SEAL,CKKS,16384,3,keygen,1,23,137.165,measured
SEAL,CKKS,16384,3,keygen,1,24,137.921,measured
SEAL,CKKS,16384,3,keygen,1,25,138.516,measured
SEAL,CKKS,16384,3,keygen,1,26,139.699,measured
SEAL,CKKS,16384,3,keygen,1,27,136.969,measured
SEAL,CKKS,16384,3,keygen,1,28,138.045,measured
SEAL,CKKS,16384,3,keygen,1,29,139.034,measured
SEAL,CKKS,16384,3,keygen,1,30,138.805,measured
SEAL,CKKS,16384,3,keygen,1,31,138.19,measured
SEAL,CKKS,16384,3,keygen,1,32,139.594,measured
SEAL,CKKS,16384,3,keygen,1,33,139.087,measured
SEAL,CKKS,16384,3,keygen,1,34,137.773,measured
SEAL,CKKS,16384,3,keygen,1,35,137.114,measured
SEAL,CKKS,16384,3,keygen,1,36,137.766,measured
SEAL,CKKS,16384,3,keygen,1,37,136.774,measured
SEAL,CKKS,16384,3,keygen,1,38,139.332,measured
SEAL,CKKS,16384,3,keygen,1,39,139.586,measured
SEAL,CKKS,16384,3,keygen,1,40,138.368,measured
SEAL,CKKS,16384,3,keygen,1,41,136.944,measured
SEAL,CKKS,16384,3,keygen,1,42,138.52,measured
SEAL,CKKS,16384,3,keygen,1,43,139.078,measured
SEAL,CKKS,16384,3,keygen,1,44,137.943,measured
SEAL,CKKS,16384,3,keygen,1,45,139.537,measured
SEAL,CKKS,16384,3,keygen,1,46,137.492,measured
SEAL,CKKS,16384,3,keygen,1,47,138.339,measured
SEAL,CKKS,16384,3,keygen,1,48,139.68,measured
SEAL,CKKS,16384,3,keygen,1,49,138.245,measured
SEAL,CKKS,16384,3,keygen,1,50,135.258,measured
SEAL,CKKS,16384,3,keygen,1,51,140.205,measured
SEAL,CKKS,16384,3,keygen,1,52,138.838,measured
SEAL,CKKS,16384,3,keygen,1,53,139.802,measured
SEAL,CKKS,16384,3,keygen,1,54,137.213,measured
SEAL,CKKS,16384,3,keygen,1,55,138.56,measured
SEAL,CKKS,16384,3,keygen,1,56,139.762,measured
SEAL,CKKS,16384,3,keygen,1,57,137.905,measured
SEAL,CKKS,16384,3,keygen,1,58,140.282,measured
SEAL,CKKS,16384,3,keygen,1,59,137.258,measured
SEAL,CKKS,16384,3,keygen,1,60,138.474,measured
SEAL,CKKS,16384,3,keygen,1,61,135.504,measured
SEAL,CKKS,16384,3,keygen,1,62,139.243,measured
SEAL,CKKS,16384,3,keygen,1,63,138.942,measured
SEAL,CKKS,16384,3,keygen,1,64,137.639,measured
SEAL,CKKS,16384,3,keygen,1,65,137.97,measured
SEAL,CKKS,16384,3,keygen,1,66,137.019,measured
SEAL,CKKS,16384,3,keygen,1,67,135.349,measured
SEAL,CKKS,16384,3,keygen,1,68,136.501,measured
SEAL,CKKS,16384,3,keygen,1,69,138.171,measured
SEAL,CKKS,16384,3,keygen,1,70,139.421,measured
SEAL,CKKS,16384,3,keygen,1,71,137.166,measured
SEAL,CKKS,16384,3,keygen,1,72,137.182,measured
SEAL,CKKS,16384,3,keygen,1,73,136.754,measured
SEAL,CKKS,16384,3,keygen,1,74,137.788,measured
SEAL,CKKS,16384,3,keygen,1,75,138.732,measured
SEAL,CKKS,16384,3,keygen,1,76,136.213,measured
SEAL,CKKS,16384,3,keygen,1,77,137.093,measured
SEAL,CKKS,16384,3,keygen,1,78,140.034,measured
SEAL,CKKS,16384,3,keygen,1,79,138.047,measured
SEAL,CKKS,16384,3,keygen,1,80,137.062,measured
SEAL,CKKS,16384,3,keygen,1,81,136.53,measured
SEAL,CKKS,16384,3,keygen,1,82,138.185,measured
SEAL,CKKS,16384,3,keygen,1,83,138.13,measured
SEAL,CKKS,16384,3,keygen,1,84,138.129,measured
SEAL,CKKS,16384,3,keygen,1,85,136.614,measured
SEAL,CKKS,16384,3,keygen,1,86,139.678,measured
SEAL,CKKS,16384,3,keygen,1,87,138.622,measured
SEAL,CKKS,16384,3,keygen,1,88,138.562,measured
SEAL,CKKS,16384,3,keygen,1,89,135.526,measured
SEAL,CKKS,16384,3,keygen,1,90,138.564,measured
SEAL,CKKS,16384,3,keygen,1,91,139.75,measured
SEAL,CKKS,16384,3,keygen,1,92,136.473,measured
SEAL,CKKS,16384,3,keygen,1,93,138.784,measured
SEAL,CKKS,16384,3,keygen,1,94,138.9,measured
SEAL,CKKS,16384,3,keygen,1,95,136.139,measured
SEAL,CKKS,16384,3,keygen,1,96,140.228,measured
SEAL,CKKS,16384,3,keygen,1,97,140.312,measured
SEAL,CKKS,16384,3,keygen,1,98,136.176,measured
SEAL,CKKS,16384,3,keygen,1,99,139.07,measured
SEAL,CKKS,16384,3,keygen,1,100,136.315,measured
SEAL,CKKS,16384,3,keygen,1,101,137.799,measured
SEAL,CKKS,16384,3,keygen,1,102,138.344,measured
SEAL,CKKS,16384,3,keygen,1,103,138.254,measured
SEAL,CKKS,16384,3,keygen,1,104,139.177,measured
